author:jd, total:  611
author:k4, total:  403
author:gg, total:  390
author:mo, total:  340
author:pi, total:  286
author:ka, total:  282
author:sh, total:  279
author:sc, total:  270
author:ru, total:  263
author:js, total:  231
author:su, total:  223
author:st, total:  214
author:dr, total:  214
author:ze, total:  208
author:st, total:  204
author:dh, total:  186
author:bi, total:  179
author:mi, total:  171
author:cr, total:  168
author:ft, total:  160
author:ca, total:  155
author:Le, total:  154
author:ca, total:  142
author:ki, total:  142
author:po, total:  136
author:ra, total:  133
author:my, total:  132
author:mi, total:  131
author:js, total:  130
author:te, total:  129
author:pa, total:  128
author:me, total:  128
author:lo, total:  127
author:wi, total:  126
author:re, total:  125
author:ho, total:  117
author:as, total:  115
author:pp, total:  113
author:to, total:  111
author:wa, total:  109
author:ji, total:  109
author:ha, total:  109
author:pe, total:  108
author:vo, total:  108
author:ii, total:  106
author:yo, total:  106
author:ze, total:  106
author:ta, total:  105
author:re, total:  104
author:jo, total:  104
author:la, total:  104
author:zo, total:  103
author:ge, total:  102
author:ar, total:  102
author:ki, total:  101
author:de, total:  100
author:si, total:  100
author:su, total:   99
author:pe, total:   99
author:ne, total:   98
author:ne, total:   96
author:qw, total:   96
author:ry, total:   95
author:bl, total:   95
author:d1, total:   94
author:ka, total:   94
author:pi, total:   93
author:as, total:   90
author:sh, total:   88
author:no, total:   88
author:gu, total:   88
author:ju, total:   87
author:sa, total:   87
author:el, total:   87
author:ez, total:   86
author:ma, total:   85
author:su, total:   85
author:wh, total:   84
author:st, total:   84
author:qh, total:   84
author:be, total:   84
author:la, total:   83
author:ad, total:   83
author:cy, total:   82
author:xh, total:   82
author:pr, total:   82
author:dk, total:   82
author:xh, total:   82
author:ma, total:   81
author:oh, total:   81
author:dm, total:   81
author:da, total:   81
author:gr, total:   80
author:ja, total:   80
author:dk, total:   79
author:ve, total:   77
author:vi, total:   77
author:ze, total:   77
author:ly, total:   77
author:ph, total:   76
author:se, total:   76
author:or, total:   75
author:Su, total:   75
author:bo, total:   73
author:sa, total:   73
author:my, total:   72
author:ni, total:   70
author:co, total:   68
author:ya, total:   68
author:rr, total:   66
author:ki, total:   65
author:hj, total:   65
author:al, total:   65
author:po, total:   65
author:hi, total:   65
author:we, total:   64
author:wi, total:   64
author:se, total:   64
author:go, total:   64
author:co, total:   63
author:df, total:   63
author:xe, total:   62
author:lo, total:   62
author:ch, total:   61
author:ja, total:   61
author:bo, total:   61
author:zz, total:   61
author:fr, total:   60
author:hi, total:   60
author:2o, total:   60
author:br, total:   60
author:di, total:   60
author:te, total:   60
author:ba, total:   60
author:an, total:   59
author:si, total:   58
author:ra, total:   58
author:dr, total:   58
author:sy, total:   58
author:wa, total:   57
author:ri, total:   57
author:go, total:   56
author:ia, total:   56
author:th, total:   56
author:sp, total:   55
author:ch, total:   55
author:pi, total:   55
author:eu, total:   55
author:wi, total:   55
author:bs, total:   54
author:si, total:   54
author:de, total:   54
author:ho, total:   54
author:cl, total:   53
author:nd, total:   53
author:ki, total:   52
author:wa, total:   52
author:no, total:   52
author:eh, total:   52
author:MS, total:   52
author:jo, total:   51
author:mk, total:   51
author:lo, total:   50
author:kj, total:   50
author:il, total:   50
author:sh, total:   49
author:bi, total:   49
author:ch, total:   49
author:hb, total:   49
author:cc, total:   49
author:ki, total:   48
author:ii, total:   48
author:am, total:   48
author:ap, total:   47
author:fo, total:   47
author:ch, total:   47
author:40, total:   47
author:ci, total:   47
author:dr, total:   47
author:le, total:   46
author:la, total:   46
author:pa, total:   46
author:th, total:   46
author:bu, total:   46
author:pi, total:   46
author:na, total:   45
author:to, total:   45
author:wi, total:   45
author:cl, total:   45
author:an, total:   44
author:id, total:   44
author:ri, total:   44
author:mo, total:   44
author:li, total:   44
author:pa, total:   44
author:bb, total:   44
author:re, total:   44
author:al, total:   43
author:gl, total:   43
author:in, total:   43
author:bl, total:   43
author:jo, total:   43
author:js, total:   43
author:4l, total:   43
author:si, total:   43
author:do, total:   42
author:re, total:   42
author:yi, total:   42
author:of, total:   42
author:di, total:   42
author:ra, total:   42
author:dr, total:   41
author:su, total:   41
author:at, total:   41
author:be, total:   41
author:na, total:   41
author:ol, total:   41
author:he, total:   41
author:qu, total:   40
author:en, total:   40
author:lu, total:   40
author:yj, total:   40
author:mo, total:   40
author:ne, total:   40
author:wk, total:   40
author:tm, total:   39
author:un, total:   39
author:cu, total:   39
author:pj, total:   39
author:ga, total:   39
author:xp, total:   38
author:ne, total:   38
author:cb, total:   38
author:ou, total:   38
author:ka, total:   38
author:kl, total:   38
author:cc, total:   38
author:ak, total:   38
author:gh, total:   38
author:ra, total:   38
author:ap, total:   38
author:no, total:   38
author:ju, total:   38
author:si, total:   37
author:ng, total:   37
author:an, total:   37
author:ch, total:   37
author:wh, total:   37
author:he, total:   36
author:13, total:   36
author:vi, total:   36
author:je, total:   36
author:ga, total:   35
author:nb, total:   35
author:li, total:   35
author:na, total:   35
author:al, total:   35
author:jh, total:   34
author:pa, total:   34
author:st, total:   34
author:ca, total:   34
author:c1, total:   34
author:sw, total:   34
author:ch, total:   33
author:f4, total:   33
author:tj, total:   33
author:ho, total:   33
author:mi, total:   33
author:cr, total:   33
author:ti, total:   33
author:ps, total:   32
author:ky, total:   32
author:ga, total:   32
author:go, total:   32
author:ps, total:   32
author:so, total:   31
author:sd, total:   31
author:zi, total:   31
author:le, total:   31
author:mb, total:   31
author:kp, total:   31
author:lu, total:   31
author:kn, total:   31
author:hi, total:   31
author:pa, total:   31
author:rh, total:   31
author:su, total:   30
author:bo, total:   30
author:js, total:   30
author:mh, total:   30
author:ma, total:   30
author:na, total:   30
author:se, total:   30
author:ti, total:   30
author:il, total:   30
author:sh, total:   30
author:ch, total:   29
author:tp, total:   29
author:uk, total:   29
author:ga, total:   29
author:hi, total:   29
author:as, total:   29
author:ma, total:   29
author:ro, total:   29
author:li, total:   29
author:ge, total:   28
author:sa, total:   28
author:sm, total:   28
author:al, total:   28
author:ro, total:   28
author:dk, total:   28
author:bo, total:   28
author:ma, total:   28
author:bl, total:   28
author:kn, total:   28
author:dj, total:   28
author:si, total:   28
author:za, total:   27
author:ho, total:   27
author:mo, total:   27
author:lj, total:   27
author:ap, total:   27
author:ko, total:   27
author:zo, total:   27
author:ja, total:   27
author:co, total:   26
author:hs, total:   26
author:sh, total:   26
author:zm, total:   26
author:ze, total:   26
author:sa, total:   26
author:tc, total:   26
author:ch, total:   26
author:da, total:   26
author:ba, total:   26
author:ag, total:   26
author:gm, total:   26
author:ga, total:   25
author:pe, total:   25
author:ic, total:   25
author:ca, total:   25
author:fl, total:   25
author:vo, total:   25
author:zj, total:   25
author:he, total:   25
author:am, total:   25
author:gu, total:   25
author:mi, total:   25
author:de, total:   25
author:at, total:   25
author:22, total:   25
author:pu, total:   25
author:gy, total:   25
author:fo, total:   25
author:ms, total:   25
author:su, total:   24
author:va, total:   24
author:hm, total:   24
author:Bo, total:   24
author:PL, total:   24
author:bb, total:   24
author:mo, total:   24
author:mo, total:   24
author:su, total:   24
author:my, total:   24
author:de, total:   24
author:bi, total:   24
author:hd, total:   24
author:ki, total:   23
author:lo, total:   23
author:be, total:   23
author:pi, total:   23
author:ne, total:   23
author:ca, total:   23
author:km, total:   23
author:ai, total:   23
author:ex, total:   23
author:sn, total:   23
author:dl, total:   23
author:ii, total:   23
author:ed, total:   23
author:wo, total:   23
author:sl, total:   23
author:lj, total:   23
author:mo, total:   23
author:ti, total:   22
author:od, total:   22
author:to, total:   22
author:hl, total:   22
author:ba, total:   22
author:ky, total:   22
author:Bl, total:   22
author:Kx, total:   22
author:jc, total:   22
author:sp, total:   22
author:ac, total:   22
author:sh, total:   22
author:cl, total:   22
author:ZA, total:   22
author:oo, total:   22
author:hu, total:   22
author:dr, total:   22
author:th, total:   22
author:nz, total:   21
author:mj, total:   21
author:wa, total:   21
author:wo, total:   21
author:da, total:   21
author:la, total:   21
author:ro, total:   21
author:fo, total:   21
author:mo, total:   21
author:ki, total:   21
author:re, total:   21
author:le, total:   21
author:xx, total:   21
author:ap, total:   21
author:bl, total:   21
author:mo, total:   21
author:su, total:   21
author:my, total:   21
author:tr, total:   21
author:in, total:   20
author:si, total:   20
author:sp, total:   20
author:sw, total:   20
author:aa, total:   20
author:uu, total:   20
author:sh, total:   20
author:cl, total:   20
author:mr, total:   20
author:ha, total:   20
author:sj, total:   20
author:my, total:   20
author:bi, total:   20
author:li, total:   20
author:pd, total:   20
author:ha, total:   20
author:to, total:   20
author:me, total:   20
author:fa, total:   20
author:mf, total:   19
author:da, total:   19
author:dy, total:   19
author:lu, total:   19
author:do, total:   19
author:de, total:   19
author:ew, total:   19
author:pe, total:   19
author:sk, total:   19
author:lo, total:   19
author:2u, total:   19
author:no, total:   19
author:ha, total:   19
author:sa, total:   19
author:by, total:   19
author:th, total:   19
author:dr, total:   19
author:ky, total:   19
author:ms, total:   19
author:na, total:   18
author:do, total:   18
author:kk, total:   18
author:di, total:   18
author:br, total:   18
author:ho, total:   18
author:yh, total:   18
author:dr, total:   18
author:br, total:   18
author:jk, total:   18
author:ro, total:   18
author:rh, total:   18
author:gu, total:   18
author:ne, total:   18
author:ge, total:   18
author:wr, total:   18
author:na, total:   18
author:ho, total:   18
author:62, total:   18
author:eo, total:   18
author:vk, total:   18
author:sd, total:   18
author:sa, total:   18
author:id, total:   18
author:A1, total:   17
author:pe, total:   17
author:ba, total:   17
author:na, total:   17
author:so, total:   17
author:js, total:   17
author:ma, total:   17
author:me, total:   17
author:ka, total:   17
author:su, total:   17
author:zo, total:   17
author:ki, total:   17
author:ta, total:   17
author:zz, total:   17
author:sl, total:   17
author:kj, total:   17
author:ch, total:   17
author:rk, total:   17
author:ch, total:   17
author:dk, total:   17
author:fu, total:   17
author:re, total:   17
author:ka, total:   17
author:ge, total:   17
author:se, total:   17
author:id, total:   17
author:13, total:   17
author:fg, total:   17
author:za, total:   17
author:th, total:   17
author:bl, total:   17
author:we, total:   17
author:sh, total:   17
author:la, total:   16
author:go, total:   16
author:bo, total:   16
author:kj, total:   16
author:re, total:   16
author:42, total:   16
author:Je, total:   16
author:ye, total:   16
author:mi, total:   16
author:mo, total:   16
author:we, total:   16
author:ke, total:   16
author:Jh, total:   16
author:hb, total:   16
author:th, total:   16
author:be, total:   16
author:kd, total:   16
author:ni, total:   16
author:po, total:   16
author:dj, total:   16
author:ni, total:   16
author:la, total:   16
author:pe, total:   16
author:pi, total:   16
author:ad, total:   16
author:en, total:   16
author:tb, total:   16
author:gg, total:   15
author:pp, total:   15
author:no, total:   15
author:my, total:   15
author:em, total:   15
author:is, total:   15
author:le, total:   15
author:dk, total:   15
author:ho, total:   15
author:sk, total:   15
author:kn, total:   15
author:ra, total:   15
author:wa, total:   15
author:si, total:   15
author:te, total:   15
author:to, total:   15
author:so, total:   15
author:ko, total:   15
author:ts, total:   15
author:pa, total:   15
author:wn, total:   15
author:hy, total:   15
author:cu, total:   15
author:sd, total:   15
author:cr, total:   15
author:se, total:   15
author:we, total:   15
author:wo, total:   15
author:cd, total:   15
author:Ju, total:   15
author:pq, total:   15
author:wo, total:   15
author:Lo, total:   15
author:ko, total:   15
author:ko, total:   15
author:qk, total:   15
author:to, total:   14
author:le, total:   14
author:td, total:   14
author:fi, total:   14
author:au, total:   14
author:ra, total:   14
author:ra, total:   14
author:tr, total:   14
author:vi, total:   14
author:pp, total:   14
author:gr, total:   14
author:gk, total:   14
author:ls, total:   14
author:ch, total:   14
author:x2, total:   14
author:ro, total:   14
author:kn, total:   14
author:qn, total:   14
author:ki, total:   14
author:qo, total:   14
author:gh, total:   14
author:sw, total:   14
author:wc, total:   14
author:aq, total:   14
author:no, total:   14
author:la, total:   14
author:bl, total:   14
author:ru, total:   14
author:kk, total:   14
author:pl, total:   14
author:cl, total:   14
author:co, total:   14
author:lb, total:   14
author:zz, total:   14
author:ca, total:   14
author:aw, total:   14
author:yo, total:   14
author:Ju, total:   14
author:ze, total:   14
author:te, total:   14
author:ld, total:   13
author:ej, total:   13
