author:jdh, total:  514
author:gga, total:  427
author:k44, total:  405
author:moo, total:  356
author:pir, total:  313
author:sup, total:  299
author:jse, total:  291
author:kad, total:  273
author:scw, total:  263
author:drp, total:  237
author:bia, total:  228
author:sta, total:  225
author:sha, total:  224
author:run, total:  210
author:zer, total:  200
author:mir, total:  196
author:cyh, total:  178
author:kim, total:  178
author:ten, total:  173
author:dhr, total:  163
author:lyl, total:  163
author:sty, total:  162
author:ide, total:  160
author:can, total:  152
author:von, total:  149
author:mem, total:  147
author:cad, total:  147
author:jin, total:  146
author:ftf, total:  145
author:d11, total:  143
author:Lee, total:  140
author:pom, total:  125
author:ham, total:  125
author:zes, total:  122
author:su6, total:  117
author:lov, total:  117
author:myn, total:  117
author:pre, total:  117
author:cro, total:  116
author:boi, total:  116
author:iih, total:  115
author:qwe, total:  114
author:pea, total:  114
author:gen, total:  111
author:kim, total:  111
author:pat, total:  110
author:min, total:  110
author:ryu, total:  108
author:sta, total:  107
author:win, total:  106
author:gus, total:  104
author:juj, total:  102
author:jsw, total:  101
author:asw, total:  101
author:ber, total:   99
author:peg, total:   98
author:phr, total:   98
author:zon, total:   98
author:yoo, total:   97
author:sie, total:   97
author:nos, total:   97
author:ora, total:   96
author:hon, total:   96
author:red, total:   95
author:too, total:   95
author:wat, total:   95
author:lar, total:   93
author:whg, total:   93
author:bor, total:   88
author:ars, total:   85
author:whi, total:   85
author:elf, total:   84
author:mon, total:   84
author:red, total:   84
author:jae, total:   84
author:dmd, total:   83
author:lad, total:   82
author:ccy, total:   82
author:xhf, total:   82
author:lan, total:   81
author:gra, total:   81
author:ban, total:   81
author:ezj, total:   80
author:mal, total:   77
author:pil, total:   77
author:sel, total:   76
author:yiy, total:   75
author:seo, total:   74
author:sur, total:   74
author:nd0, total:   74
author:sad, total:   73
author:tas, total:   73
author:kam, total:   73
author:net, total:   72
author:qha, total:   72
author:fro, total:   71
author:ccc, total:   70
author:zen, total:   70
author:nip, total:   69
author:hin, total:   69
author:des, total:   69
author:ric, total:   69
author:zzu, total:   69
author:sav, total:   68
author:hjw, total:   68
author:gog, total:   68
author:bri, total:   68
author:she, total:   67
author:del, total:   67
author:win, total:   67
author:kds, total:   66
author:ian, total:   66
author:blu, total:   65
author:seo, total:   65
author:dke, total:   65
author:wir, total:   64
author:eur, total:   64
author:xha, total:   64
author:kp8, total:   63
author:con, total:   63
author:hik, total:   63
author:thi, total:   63
author:jae, total:   63
author:sym, total:   62
author:vit, total:   62
author:rac, total:   62
author:dkk, total:   61
author:hb8, total:   61
author:ppx, total:   61
author:inv, total:   61
author:gam, total:   60
author:bbc, total:   59
author:sil, total:   59
author:job, total:   59
author:mob, total:   58
author:kih, total:   57
author:gai, total:   57
author:kim, total:   57
author:yjs, total:   57
author:que, total:   57
author:hel, total:   57
author:wan, total:   56
author:sho, total:   56
author:yak, total:   56
author:dac, total:   56
author:myf, total:   56
author:loe, total:   55
author:df3, total:   55
author:adr, total:   55
author:wak, total:   54
author:nol, total:   54
author:ohm, total:   53
author:neo, total:   53
author:nab, total:   51
author:che, total:   51
author:kag, total:   50
author:and, total:   50
author:2on, total:   50
author:kis, total:   50
author:cli, total:   49
author:did, total:   49
author:win, total:   49
author:mks, total:   49
author:hol, total:   49
author:ver, total:   49
author:lol, total:   48
author:bsh, total:   48
author:cor, total:   48
author:ilo, total:   48
