author:jd, total:  605
author:k4, total:  389
author:gg, total:  347
author:mo, total:  334
author:ka, total:  278
author:sh, total:  262
author:sc, total:  259
author:pi, total:  258
author:ru, total:  253
author:js, total:  227
author:su, total:  221
author:dr, total:  220
author:st, total:  214
author:st, total:  199
author:ze, total:  188
author:dh, total:  184
author:bi, total:  171
author:mi, total:  159
author:Le, total:  152
author:ft, total:  151
author:ca, total:  143
author:cr, total:  142
author:ca, total:  139
author:po, total:  129
author:my, total:  125
author:me, total:  123
author:re, total:  123
author:ki, total:  122
author:mi, total:  120
author:pa, total:  119
author:js, total:  117
author:te, total:  117
author:as, total:  115
author:lo, total:  115
author:ra, total:  114
author:wi, total:  113
author:ho, total:  110
author:ha, total:  110
author:yo, total:  108
author:pp, total:  108
author:to, total:  108
author:vo, total:  106
author:ii, total:  106
author:ta, total:  105
author:ji, total:  105
author:pe, total:  103
author:la, total:  102
author:ze, total:  101
author:re, total:  101
author:ki, total:  101
author:zo, total:   99
author:d1, total:   97
author:si, total:   96
author:wa, total:   96
author:su, total:   96
author:ne, total:   95
author:de, total:   93
author:ge, total:   93
author:ne, total:   92
author:ar, total:   92
author:pe, total:   91
author:ry, total:   90
author:ka, total:   90
author:pi, total:   90
author:bl, total:   87
author:ez, total:   87
author:sh, total:   86
author:sa, total:   85
author:ly, total:   84
author:be, total:   84
author:st, total:   84
author:dm, total:   84
author:gu, total:   83
author:la, total:   83
author:ju, total:   82
author:cy, total:   82
author:no, total:   82
author:qw, total:   81
author:su, total:   81
author:ad, total:   81
author:ma, total:   81
author:xh, total:   80
author:el, total:   79
author:jo, total:   78
author:pr, total:   78
author:ph, total:   78
author:gr, total:   78
author:ja, total:   77
author:oh, total:   77
author:qh, total:   77
author:dk, total:   75
author:da, total:   74
author:or, total:   74
author:xh, total:   74
author:vi, total:   73
author:as, total:   73
author:se, total:   73
author:ze, total:   73
author:Su, total:   71
author:ve, total:   70
author:sa, total:   69
author:go, total:   67
author:ni, total:   67
author:se, total:   67
author:hi, total:   67
author:hj, total:   66
author:bo, total:   66
author:my, total:   66
author:co, total:   66
author:po, total:   64
author:wi, total:   64
author:df, total:   63
author:xe, total:   62
author:wh, total:   62
author:ki, total:   62
author:lo, total:   61
author:si, total:   61
author:al, total:   61
author:ch, total:   60
author:br, total:   60
author:wa, total:   60
author:ba, total:   59
author:di, total:   58
author:ri, total:   58
author:dk, total:   58
author:ja, total:   58
author:fr, total:   57
author:hi, total:   57
author:te, total:   57
author:eu, total:   57
author:dr, total:   57
author:ra, total:   57
author:zz, total:   57
author:de, total:   56
author:wa, total:   55
author:sy, total:   55
author:2o, total:   55
author:wi, total:   55
author:an, total:   55
author:ya, total:   54
author:ia, total:   54
author:nd, total:   54
author:go, total:   53
author:no, total:   53
author:kj, total:   52
author:ma, total:   52
author:sh, total:   52
author:ho, total:   52
author:sp, total:   51
author:MS, total:   51
author:bs, total:   51
author:ki, total:   51
author:cl, total:   51
author:bo, total:   51
author:rr, total:   50
author:bi, total:   50
author:hb, total:   49
author:ki, total:   49
author:id, total:   48
author:th, total:   48
author:mk, total:   48
author:jo, total:   48
author:lo, total:   48
author:ch, total:   48
author:40, total:   47
author:il, total:   47
author:am, total:   47
author:mo, total:   47
author:ch, total:   46
author:fo, total:   46
author:la, total:   46
author:ch, total:   46
author:ap, total:   46
author:bb, total:   46
author:si, total:   46
author:to, total:   45
author:le, total:   45
author:in, total:   45
author:ii, total:   44
author:li, total:   44
author:pi, total:   44
author:we, total:   44
author:js, total:   43
author:dr, total:   43
author:bu, total:   43
author:cc, total:   43
author:bl, total:   43
author:wi, total:   43
author:he, total:   43
author:jo, total:   43
author:pi, total:   43
author:eh, total:   43
author:re, total:   43
author:un, total:   42
author:gl, total:   42
author:yi, total:   42
author:na, total:   42
author:pa, total:   42
author:al, total:   41
author:su, total:   41
author:pa, total:   41
author:ol, total:   41
author:yj, total:   40
author:cl, total:   40
author:qu, total:   40
author:ra, total:   40
author:be, total:   40
author:cb, total:   40
author:ch, total:   40
author:na, total:   40
author:ne, total:   40
author:ri, total:   39
author:wk, total:   39
author:do, total:   39
author:kl, total:   39
author:th, total:   39
author:4l, total:   39
author:cu, total:   38
author:re, total:   38
author:ra, total:   38
author:ka, total:   37
author:ci, total:   37
author:ga, total:   37
author:xp, total:   37
author:ga, total:   37
author:an, total:   37
author:wh, total:   37
author:cc, total:   36
author:c1, total:   36
author:dr, total:   36
author:tm, total:   36
author:di, total:   36
author:ti, total:   36
author:si, total:   36
author:vi, total:   35
author:he, total:   35
author:ne, total:   35
author:of, total:   35
author:kp, total:   35
author:nb, total:   35
author:ou, total:   35
author:ch, total:   34
author:ap, total:   34
author:al, total:   34
author:li, total:   34
author:13, total:   34
author:pa, total:   34
author:ps, total:   34
author:jh, total:   33
author:ti, total:   33
author:en, total:   33
author:ho, total:   33
author:an, total:   33
author:co, total:   33
author:mb, total:   32
author:ga, total:   32
author:gh, total:   32
author:il, total:   31
author:su, total:   31
author:ps, total:   31
author:lu, total:   31
author:pa, total:   31
author:kn, total:   31
author:ky, total:   31
author:al, total:   31
author:cr, total:   31
author:je, total:   31
author:go, total:   31
author:ng, total:   31
author:mo, total:   30
author:na, total:   30
author:pj, total:   30
author:bo, total:   30
author:zi, total:   30
author:lu, total:   30
author:na, total:   30
author:mh, total:   30
author:ma, total:   30
author:at, total:   30
author:ca, total:   30
author:dj, total:   30
author:se, total:   29
author:sh, total:   29
author:hi, total:   29
author:sw, total:   29
author:ro, total:   29
author:mo, total:   29
author:ga, total:   29
author:f4, total:   29
author:ma, total:   28
author:bl, total:   28
author:sh, total:   28
author:ma, total:   28
author:ro, total:   28
author:rh, total:   28
author:hi, total:   28
author:ch, total:   28
author:sm, total:   28
author:le, total:   28
author:kn, total:   28
author:zo, total:   28
author:st, total:   27
author:uk, total:   27
author:tp, total:   27
author:so, total:   27
author:he, total:   27
author:as, total:   27
author:js, total:   27
author:tc, total:   26
author:ic, total:   26
author:hs, total:   26
author:sd, total:   26
author:pe, total:   26
author:ja, total:   26
author:ch, total:   26
author:si, total:   26
author:ge, total:   26
author:sa, total:   26
author:gm, total:   26
author:ms, total:   26
author:co, total:   26
author:ko, total:   26
author:da, total:   25
author:ag, total:   25
author:de, total:   25
author:dk, total:   25
author:ed, total:   25
author:de, total:   25
author:mi, total:   25
author:li, total:   25
author:bi, total:   24
author:PL, total:   24
author:su, total:   24
author:gu, total:   24
author:hl, total:   24
author:ju, total:   24
author:my, total:   24
