user_id:ent, total:   11
user_id:god, total:    8
user_id:cit, total:    5
user_id:blu, total:    4
user_id:byo, total:    4
user_id:bgp, total:    4
user_id:pro, total:    4
user_id:ern, total:    3
user_id:han, total:    3
user_id:sch, total:    3
user_id:ges, total:    2
user_id:whi, total:    2
user_id:fir, total:    2
user_id:bon, total:    2
user_id:oby, total:    2
user_id:kse, total:    2
user_id:peg, total:    2
user_id:lif, total:    2
user_id:kam, total:    2
user_id:scw, total:    2
user_id:ele, total:    2
user_id:cro, total:    2
user_id:mon, total:    2
user_id:ehd, total:    2
user_id:uni, total:    2
user_id:yoo, total:    2
user_id:faf, total:    2
user_id:mel, total:    2
user_id:zan, total:    2
user_id:bia, total:    2
user_id:pir, total:    1
user_id:hin, total:    1
user_id:ckl, total:    1
user_id:hye, total:    1
user_id:jas, total:    1
user_id:mem, total:    1
user_id:att, total:    1
user_id:tom, total:    1
user_id:led, total:    1
user_id:win, total:    1
user_id:nor, total:    1
user_id:dar, total:    1
user_id:tea, total:    1
user_id:ico, total:    1
user_id:ten, total:    1
user_id:jel, total:    1
user_id:cs9, total:    1
user_id:ksh, total:    1
user_id:nya, total:    1
user_id:tel, total:    1
