user_id:dan, total:   10
user_id:cha, total:    7
user_id:des, total:    4
user_id:int, total:    3
user_id:wil, total:    3
user_id:hel, total:    3
user_id:see, total:    3
user_id:fro, total:    3
user_id:ast, total:    3
user_id:wil, total:    2
user_id:cat, total:    2
user_id:log, total:    2
user_id:pin, total:    2
user_id:son, total:    2
user_id:rag, total:    2
user_id:sla, total:    2
user_id:mon, total:    2
user_id:loe, total:    2
user_id:cli, total:    2
user_id:mal, total:    2
user_id:nos, total:    2
user_id:man, total:    2
user_id:nek, total:    2
user_id:red, total:    2
user_id:mor, total:    2
user_id:iam, total:    2
user_id:liv, total:    2
user_id:dne, total:    2
user_id:web, total:    2
user_id:asc, total:    2
user_id:__h, total:    2
user_id:pen, total:    1
user_id:can, total:    1
user_id:sal, total:    1
user_id:dre, total:    1
user_id:53d, total:    1
user_id:all, total:    1
user_id:fla, total:    1
user_id:boy, total:    1
user_id:arc, total:    1
user_id:che, total:    1
user_id:kie, total:    1
user_id:che, total:    1
user_id:wld, total:    1
user_id:whd, total:    1
user_id:lov, total:    1
user_id:pin, total:    1
user_id:tac, total:    1
user_id:kih, total:    1
user_id:ans, total:    1
