user_id:sp, total:   11
user_id:ju, total:    6
user_id:aa, total:    4
user_id:ko, total:    2
user_id:yo, total:    2
user_id:hi, total:    2
user_id:ca, total:    2
user_id:hm, total:    2
user_id:ma, total:    2
user_id:yo, total:    2
user_id:li, total:    2
user_id:li, total:    2
user_id:dl, total:    1
user_id:sl, total:    1
user_id:cz, total:    1
user_id:ve, total:    1
user_id:k2, total:    1
user_id:ge, total:    1
user_id:TN, total:    1
user_id:in, total:    1
user_id:ro, total:    1
user_id:to, total:    1
user_id:re, total:    1
user_id:kt, total:    1
user_id:ha, total:    1
user_id:sh, total:    1
user_id:ki, total:    1
user_id:ru, total:    1
user_id:oo, total:    1
user_id:ju, total:    1
user_id:ju, total:    1
user_id:lj, total:    1
user_id:ju, total:    1
user_id:su, total:    1
user_id:mi, total:    1
user_id:mi, total:    1
user_id:yh, total:    1
user_id:vi, total:    1
user_id:ev, total:    1
user_id:ze, total:    1
user_id:ki, total:    1
user_id:co, total:    1
user_id:we, total:    1
user_id:ra, total:    1
user_id:so, total:    1
user_id:cr, total:    1
user_id:ni, total:    1
user_id:ze, total:    1
user_id:jj, total:    1
user_id:ip, total:    1
