user_id:so, total:   19
user_id:gu, total:   13
user_id:cl, total:   13
user_id:yj, total:   12
user_id:bs, total:   12
user_id:ta, total:   11
user_id:dl, total:   11
user_id:pr, total:   11
user_id:be, total:   11
user_id:ta, total:   10
user_id:ri, total:   10
user_id:da, total:    9
user_id:gr, total:    9
user_id:ra, total:    8
user_id:ys, total:    8
user_id:as, total:    8
user_id:nu, total:    7
user_id:ki, total:    7
user_id:te, total:    7
user_id:sk, total:    7
user_id:dr, total:    7
user_id:lj, total:    7
user_id:si, total:    7
user_id:hs, total:    7
user_id:bl, total:    7
user_id:ga, total:    7
user_id:xm, total:    7
user_id:lj, total:    6
user_id:be, total:    6
user_id:co, total:    6
user_id:to, total:    6
user_id:ho, total:    6
user_id:ni, total:    6
user_id:pi, total:    6
user_id:TN, total:    6
user_id:in, total:    6
user_id:re, total:    6
user_id:do, total:    6
user_id:mi, total:    6
user_id:po, total:    6
user_id:sy, total:    6
user_id:ki, total:    5
user_id:ee, total:    5
user_id:je, total:    5
user_id:ro, total:    5
user_id:cs, total:    5
user_id:hi, total:    5
user_id:dr, total:    5
user_id:pa, total:    5
user_id:sw, total:    5
