user_id:dl, total:   11
user_id:th, total:    7
user_id:to, total:    6
user_id:ki, total:    5
user_id:in, total:    5
user_id:42, total:    5
user_id:da, total:    4
user_id:co, total:    4
user_id:tt, total:    4
user_id:uk, total:    4
user_id:is, total:    3
user_id:22, total:    3
user_id:bo, total:    3
user_id:va, total:    3
user_id:si, total:    3
user_id:as, total:    3
user_id:lu, total:    3
user_id:dd, total:    3
user_id:2u, total:    3
user_id:je, total:    3
user_id:bo, total:    3
user_id:iz, total:    3
user_id:pi, total:    3
user_id:tj, total:    3
user_id:ro, total:    3
user_id:je, total:    3
user_id:no, total:    3
user_id:ju, total:    3
user_id:ra, total:    3
user_id:kj, total:    3
user_id:im, total:    3
user_id:no, total:    2
user_id:di, total:    2
user_id:ch, total:    2
user_id:sa, total:    2
user_id:cy, total:    2
user_id:si, total:    2
user_id:ke, total:    2
user_id:ni, total:    2
user_id:yj, total:    2
user_id:sh, total:    2
user_id:br, total:    2
user_id:su, total:    2
user_id:me, total:    2
user_id:be, total:    2
user_id:gr, total:    2
user_id:ni, total:    2
user_id:im, total:    2
user_id:to, total:    2
user_id:pi, total:    2
