user_id:te, total:   19
user_id:ki, total:   11
user_id:si, total:   10
user_id:zo, total:   10
user_id:cl, total:   10
user_id:ge, total:    9
user_id:la, total:    9
user_id:jd, total:    8
user_id:Ma, total:    7
user_id:sg, total:    7
user_id:lu, total:    7
user_id:co, total:    7
user_id:da, total:    6
user_id:fl, total:    6
user_id:dl, total:    6
user_id:er, total:    6
user_id:ai, total:    6
user_id:wo, total:    5
user_id:wo, total:    5
user_id:bl, total:    5
user_id:aa, total:    5
user_id:f4, total:    5
user_id:cy, total:    5
user_id:dk, total:    5
user_id:su, total:    5
user_id:li, total:    5
user_id:tj, total:    5
user_id:re, total:    5
user_id:ca, total:    5
user_id:pc, total:    5
user_id:c1, total:    5
user_id:le, total:    5
user_id:la, total:    5
user_id:ma, total:    5
user_id:kt, total:    5
user_id:th, total:    5
user_id:pk, total:    4
user_id:ye, total:    4
user_id:go, total:    4
user_id:ty, total:    4
user_id:po, total:    4
user_id:ai, total:    4
user_id:da, total:    4
user_id:ab, total:    4
user_id:hj, total:    4
user_id:ar, total:    4
user_id:ru, total:    4
user_id:pp, total:    4
user_id:to, total:    4
user_id:de, total:    4
