user_id:rac, total:   12
user_id:fla, total:    6
user_id:ges, total:    6
user_id:f49, total:    6
user_id:sco, total:    5
user_id:c10, total:    5
user_id:fly, total:    5
user_id:Mac, total:    4
user_id:rex, total:    4
user_id:jdh, total:    4
user_id:izb, total:    4
user_id:and, total:    4
user_id:wls, total:    4
user_id:qha, total:    4
user_id:pen, total:    4
user_id:PhD, total:    3
user_id:jiy, total:    3
user_id:wol, total:    3
user_id:yow, total:    3
user_id:han, total:    3
user_id:ors, total:    3
user_id:las, total:    3
user_id:aaa, total:    3
user_id:fig, total:    3
user_id:nol, total:    3
user_id:fhd, total:    3
user_id:ten, total:    3
user_id:kic, total:    3
user_id:mem, total:    3
user_id:typ, total:    3
user_id:bec, total:    3
user_id:jin, total:    3
user_id:kp8, total:    3
user_id:tom, total:    3
user_id:nar, total:    3
user_id:dlw, total:    3
user_id:car, total:    2
user_id:vit, total:    2
user_id:rid, total:    2
user_id:ghk, total:    2
user_id:sba, total:    2
user_id:bre, total:    2
user_id:ret, total:    2
user_id:sil, total:    2
user_id:hij, total:    2
user_id:dar, total:    2
user_id:lov, total:    2
user_id:don, total:    2
user_id:wu7, total:    2
user_id:asc, total:    2
