author:dr, total:   16
author:gg, total:   10
author:ze, total:    9
author:yo, total:    6
author:jd, total:    5
author:dk, total:    5
author:wa, total:    4
author:of, total:    4
author:ba, total:    3
author:wo, total:    3
author:4l, total:    3
author:ne, total:    3
author:pa, total:    3
author:wi, total:    3
author:my, total:    2
author:hi, total:    2
author:ve, total:    2
author:ho, total:    2
author:bl, total:    2
author:su, total:    2
author:mr, total:    2
author:ju, total:    1
author:ki, total:    1
author:2u, total:    1
author:ch, total:    1
author:fo, total:    1
author:te, total:    1
author:re, total:    1
author:vo, total:    1
author:ba, total:    1
author:wi, total:    1
author:lj, total:    1
author:fa, total:    1
author:ke, total:    1
author:mo, total:    1
author:la, total:    1
author:dl, total:    1
author:le, total:    1
author:so, total:    1
author:ph, total:    1
author:su, total:    1
author:je, total:    1
author:va, total:    1
author:in, total:    1
author:am, total:    1
author:mf, total:    1
author:mo, total:    1
author:de, total:    1
author:su, total:    1
author:ku, total:    1
