user_id:421, total:   13
user_id:spe, total:    6
user_id:spi, total:    6
user_id:dan, total:    5
user_id:pin, total:    4
user_id:m5n, total:    3
user_id:nei, total:    3
user_id:jun, total:    3
user_id:yow, total:    2
user_id:tan, total:    2
user_id:dif, total:    2
user_id:new, total:    2
user_id:nek, total:    2
user_id:cli, total:    2
user_id:bar, total:    2
user_id:dyn, total:    2
user_id:col, total:    2
user_id:yh0, total:    2
user_id:koj, total:    2
user_id:wkd, total:    2
user_id:aid, total:    2
user_id:kyk, total:    2
user_id:son, total:    2
user_id:spa, total:    2
user_id:mak, total:    2
user_id:cld, total:    2
user_id:ror, total:    2
user_id:nim, total:    2
user_id:got, total:    2
user_id:twa, total:    2
user_id:ted, total:    2
user_id:www, total:    2
user_id:dkf, total:    2
user_id:ryu, total:    2
user_id:thi, total:    1
user_id:win, total:    1
user_id:ime, total:    1
user_id:cub, total:    1
user_id:hal, total:    1
user_id:hin, total:    1
user_id:sho, total:    1
user_id:bla, total:    1
user_id:ima, total:    1
user_id:mot, total:    1
user_id:sel, total:    1
user_id:lik, total:    1
user_id:liv, total:    1
user_id:123, total:    1
user_id:man, total:    1
user_id:pur, total:    1
