author:gga, total:   21
author:jdh, total:    5
author:and, total:    3
author:min, total:    2
author:zii, total:    1
author:gog, total:    1
author:lee, total:    1
author:ltb, total:    1
author:sup, total:    1
author:sur, total:    1
author:ten, total:    1
author:tae, total:    1
author:lol, total:    1
author:hhb, total:    1
author:lim, total:    1
author:wid, total:    1
author:boo, total:    1
author:sla, total:    1
author:cks, total:    1
author:dae, total:    1
author:sha, total:    1
author:spl, total:    1
author:fre, total:    1
author:web, total:    1
author:roo, total:    1
author:ius, total:    1
author:jun, total:    1
author:tog, total:    1
author:fle, total:    1
author:zen, total:    1
author:gen, total:    1
author:rr4, total:    1
author:hjw, total:    1
author:cyh, total:    1
author:oli, total:    1
author:nad, total:    1
author:dac, total:    1
author:oh5, total:    1
author:wit, total:    1
author:san, total:    1
author:spl, total:    1
author:dmd, total:    1
author:oil, total:    1
author:sym, total:    1
author:coo, total:    1
author:suk, total:    1
author:all, total:    1
author:nos, total:    1
author:zzz, total:    1
author:gen, total:    1
