author:gg, total:   10
author:jd, total:    6
author:cj, total:    3
author:wa, total:    2
author:pe, total:    2
author:ma, total:    2
author:vo, total:    2
author:xh, total:    2
author:ww, total:    2
author:ps, total:    2
author:go, total:    2
author:mo, total:    2
author:gr, total:    2
author:hj, total:    2
author:co, total:    1
author:ra, total:    1
author:hb, total:    1
author:ni, total:    1
author:ra, total:    1
author:ha, total:    1
author:pi, total:    1
author:bl, total:    1
author:ho, total:    1
author:2u, total:    1
author:te, total:    1
author:co, total:    1
author:29, total:    1
author:ho, total:    1
author:yo, total:    1
author:ki, total:    1
author:du, total:    1
author:uc, total:    1
author:mk, total:    1
author:dd, total:    1
author:sp, total:    1
author:fi, total:    1
author:ro, total:    1
author:ch, total:    1
author:le, total:    1
author:ne, total:    1
author:as, total:    1
author:bo, total:    1
author:jo, total:    1
author:Ph, total:    1
author:fi, total:    1
author:ni, total:    1
author:lu, total:    1
author:mi, total:    1
author:pr, total:    1
author:ka, total:    1
