author:memor, total:   38
author:jdhun, total:   13
author:k4404, total:    8
author:seoks, total:    7
author:livin, total:    6
author:min0a, total:    6
author:piran, total:    5
author:chull, total:    5
author:gogof, total:    5
author:monda, total:    4
author:rames, total:    4
author:didir, total:    4
author:shamu, total:    4
author:jhk34, total:    4
author:super, total:    4
author:sinwh, total:    3
author:kadeo, total:    3
author:zin84, total:    3
author:tenna, total:    3
author:arsia, total:    3
author:ver3c, total:    3
author:gayma, total:    3
author:wkdeo, total:    3
author:Julia, total:    3
author:hahah, total:    2
author:siber, total:    2
author:seesa, total:    2
author:myfoo, total:    2
author:snow6, total:    2
author:likeb, total:    2
author:raina, total:    2
author:bloki, total:    2
author:stylo, total:    2
author:conic, total:    2
author:cliss, total:    2
author:aidb , total:    2
author:minf1, total:    2
author:c1004, total:    2
author:sad22, total:    2
author:crowk, total:    2
author:tj291, total:    2
author:cadar, total:    2
author:harmo, total:    2
author:mirsh, total:    2
author:ham85, total:    2
author:symme, total:    2
author:pomko, total:    2
author:redja, total:    2
author:adhoc, total:    2
author:kimju, total:    2
