author:me, total:   19
author:ra, total:    8
author:as, total:    6
author:lo, total:    6
author:mi, total:    6
author:re, total:    6
author:jd, total:    6
author:su, total:    5
author:te, total:    5
author:sh, total:    5
author:ki, total:    5
author:pi, total:    5
author:co, total:    4
author:cy, total:    4
author:we, total:    4
author:Su, total:    4
author:sd, total:    4
author:ka, total:    4
author:sy, total:    4
author:ju, total:    4
author:bu, total:    3
author:li, total:    3
author:ph, total:    3
author:th, total:    3
author:ar, total:    3
author:ra, total:    3
author:st, total:    3
author:go, total:    3
author:vo, total:    3
author:kd, total:    3
author:xh, total:    3
author:cr, total:    3
author:ze, total:    3
author:no, total:    2
author:ii, total:    2
author:bi, total:    2
author:wa, total:    2
author:dk, total:    2
author:sc, total:    2
author:wh, total:    2
author:ku, total:    2
author:x2, total:    2
author:ko, total:    2
author:go, total:    2
author:k4, total:    2
author:ra, total:    2
author:ve, total:    2
author:he, total:    2
author:jk, total:    2
author:Ju, total:    2
