author:gg, total:   24
author:ky, total:    7
author:yh, total:    3
author:an, total:    2
author:jo, total:    2
author:si, total:    1
author:gu, total:    1
author:jd, total:    1
author:di, total:    1
author:ro, total:    1
author:cl, total:    1
author:bu, total:    1
author:bi, total:    1
author:da, total:    1
author:aj, total:    1
author:th, total:    1
author:an, total:    1
author:st, total:    1
author:ch, total:    1
author:hi, total:    1
author:40, total:    1
author:so, total:    1
author:su, total:    1
author:st, total:    1
author:ja, total:    1
author:dr, total:    1
author:su, total:    1
author:ho, total:    1
author:pa, total:    1
author:ju, total:    1
author:co, total:    1
author:ap, total:    1
author:za, total:    1
author:ka, total:    1
author:su, total:    1
author:le, total:    1
author:so, total:    1
author:ks, total:    1
author:ko, total:    1
author:mh, total:    1
author:cr, total:    1
