author:gga, total:   35
author:for, total:    4
author:did, total:    2
author:cho, total:    2
author:bbo, total:    1
author:sta, total:    1
author:fis, total:    1
author:sie, total:    1
author:cor, total:    1
author:kom, total:    1
author:xmo, total:    1
author:son, total:    1
author:hol, total:    1
author:rei, total:    1
author:tom, total:    1
author:jdh, total:    1
author:wat, total:    1
author:kor, total:    1
author:sha, total:    1
author:ohm, total:    1
author:chu, total:    1
author:gog, total:    1
author:hik, total:    1
author:ale, total:    1
author:peg, total:    1
