user_id:dl, total:   25
user_id:uk, total:   22
user_id:le, total:   21
user_id:ki, total:   18
user_id:be, total:   15
user_id:42, total:   14
user_id:yh, total:   13
user_id:do, total:   13
user_id:so, total:   13
user_id:jo, total:   12
user_id:do, total:   12
user_id:yo, total:   11
user_id:li, total:   11
user_id:nu, total:   11
user_id:co, total:   10
user_id:do, total:   10
user_id:gr, total:   10
user_id:db, total:   10
user_id:ct, total:    9
user_id:pi, total:    9
user_id:cl, total:    8
user_id:pg, total:    8
user_id:cl, total:    7
user_id:as, total:    7
user_id:sy, total:    7
user_id:na, total:    7
user_id:hy, total:    7
user_id:to, total:    7
user_id:to, total:    7
user_id:le, total:    7
user_id:vi, total:    6
user_id:zz, total:    6
user_id:ko, total:    6
user_id:uk, total:    6
user_id:ra, total:    6
user_id:dr, total:    6
user_id:gi, total:    6
user_id:ww, total:    6
user_id:lj, total:    6
user_id:si, total:    6
user_id:ni, total:    6
user_id:yj, total:    6
user_id:co, total:    5
user_id:da, total:    5
user_id:yd, total:    5
user_id:ra, total:    5
user_id:ee, total:    5
user_id:ha, total:    5
user_id:as, total:    5
user_id:ne, total:    5
