author:dr, total:   11
author:vi, total:    9
author:yo, total:    8
author:na, total:    7
author:ne, total:    6
author:da, total:    6
author:pr, total:    5
author:te, total:    5
author:ga, total:    5
author:ct, total:    5
author:yh, total:    5
author:22, total:    5
author:kn, total:    4
author:th, total:    4
author:pr, total:    4
author:po, total:    4
author:dl, total:    4
author:pg, total:    4
author:in, total:    4
author:su, total:    4
author:re, total:    4
author:pp, total:    4
author:li, total:    4
author:co, total:    4
author:yh, total:    4
author:ra, total:    3
author:so, total:    3
author:js, total:    3
author:ko, total:    3
author:ko, total:    3
author:si, total:    3
author:zo, total:    3
author:jo, total:    3
author:my, total:    3
author:cy, total:    3
author:li, total:    3
author:to, total:    3
author:ne, total:    3
author:jw, total:    3
author:lj, total:    3
author:at, total:    3
author:ca, total:    2
author:ro, total:    2
author:bl, total:    2
author:je, total:    2
author:kd, total:    2
author:re, total:    2
author:os, total:    2
author:bl, total:    2
author:ki, total:    2
