author:vi, total:   10
author:dr, total:    9
author:yo, total:    9
author:na, total:    5
author:ga, total:    5
author:to, total:    5
author:yh, total:    5
author:ne, total:    5
author:dl, total:    4
author:to, total:    4
author:pp, total:    4
author:th, total:    4
author:su, total:    4
author:co, total:    4
author:bl, total:    4
author:in, total:    4
author:re, total:    4
author:pr, total:    3
author:pr, total:    3
author:si, total:    3
author:ct, total:    3
author:po, total:    3
author:pg, total:    3
author:gg, total:    3
author:yh, total:    3
author:te, total:    3
author:js, total:    3
author:da, total:    3
author:ne, total:    3
author:ca, total:    2
author:li, total:    2
author:dk, total:    2
author:ap, total:    2
author:ip, total:    2
author:hb, total:    2
author:dj, total:    2
author:22, total:    2
author:in, total:    2
author:jo, total:    2
author:at, total:    2
author:gr, total:    2
author:js, total:    2
author:my, total:    2
author:os, total:    2
author:se, total:    2
author:lj, total:    2
author:21, total:    2
author:kd, total:    2
author:re, total:    2
author:qh, total:    2
