user_id:ri, total:   20
user_id:lj, total:   15
user_id:ww, total:   13
user_id:cl, total:   12
user_id:kw, total:   11
user_id:bl, total:   11
user_id:ra, total:   10
user_id:in, total:   10
user_id:gu, total:    9
user_id:40, total:    9
user_id:fl, total:    9
user_id:to, total:    8
user_id:ab, total:    8
user_id:fl, total:    8
user_id:pa, total:    7
user_id:dd, total:    7
user_id:mi, total:    7
user_id:cr, total:    7
user_id:lo, total:    7
user_id:co, total:    6
user_id:ro, total:    6
user_id:ca, total:    6
user_id:sm, total:    6
user_id:fr, total:    5
user_id:er, total:    5
user_id:kj, total:    5
user_id:ak, total:    5
user_id:iz, total:    5
user_id:re, total:    5
user_id:ca, total:    5
user_id:wa, total:    4
user_id:th, total:    4
user_id:in, total:    4
user_id:pi, total:    4
user_id:ta, total:    4
user_id:hy, total:    4
user_id:cv, total:    4
user_id:bu, total:    4
user_id:TN, total:    4
user_id:sh, total:    4
user_id:tg, total:    4
user_id:co, total:    4
user_id:hy, total:    4
user_id:to, total:    4
user_id:vi, total:    3
user_id:le, total:    3
user_id:42, total:    3
user_id:ar, total:    3
user_id:ca, total:    3
user_id:mi, total:    3
