author:de, total:   36
author:gu, total:   35
author:mh, total:   10
author:dm, total:   10
author:Bl, total:    7
author:me, total:    7
author:cr, total:    5
author:re, total:    5
author:ca, total:    5
author:te, total:    5
author:ze, total:    5
author:pp, total:    4
author:mo, total:    4
author:am, total:    4
author:jh, total:    4
author:ii, total:    4
author:th, total:    4
author:su, total:    4
author:bu, total:    3
author:sc, total:    3
author:an, total:    3
author:tr, total:    3
author:ol, total:    3
author:ni, total:    3
author:br, total:    3
author:we, total:    3
author:il, total:    3
author:wa, total:    3
author:ad, total:    3
author:xm, total:    3
author:ba, total:    3
author:ji, total:    3
author:pi, total:    3
author:ac, total:    3
author:wi, total:    3
author:in, total:    3
author:th, total:    2
author:4l, total:    2
author:yo, total:    2
author:gg, total:    2
author:jo, total:    2
author:bl, total:    2
author:el, total:    2
author:mi, total:    2
author:ko, total:    2
author:le, total:    2
author:an, total:    2
author:un, total:    2
author:lb, total:    2
author:sf, total:    2
