user_id:me, total:   21
user_id:gu, total:   21
user_id:ci, total:   21
user_id:cr, total:   19
user_id:le, total:   18
user_id:ww, total:   16
user_id:da, total:   15
user_id:su, total:   14
user_id:Bl, total:   13
user_id:sh, total:   12
user_id:ki, total:   11
user_id:ii, total:   11
user_id:xm, total:   11
user_id:fi, total:   10
user_id:ca, total:   10
user_id:rh, total:    9
user_id:sm, total:    9
user_id:qu, total:    9
user_id:tr, total:    8
user_id:je, total:    8
user_id:pi, total:    8
user_id:de, total:    8
user_id:fr, total:    8
user_id:bl, total:    7
user_id:wk, total:    7
user_id:as, total:    7
user_id:ha, total:    7
user_id:in, total:    7
user_id:lj, total:    7
user_id:re, total:    6
user_id:er, total:    6
user_id:lj, total:    6
user_id:sw, total:    6
user_id:42, total:    6
user_id:ho, total:    6
user_id:ge, total:    6
user_id:pp, total:    6
user_id:lu, total:    6
user_id:jo, total:    6
user_id:th, total:    6
user_id:se, total:    6
user_id:sl, total:    6
user_id:mo, total:    5
user_id:br, total:    5
user_id:kt, total:    5
user_id:mi, total:    5
user_id:lo, total:    5
user_id:oh, total:    5
user_id:pa, total:    5
user_id:gu, total:    5
