author:des, total:   20
author:mem, total:   13
author:ten, total:    8
author:scw, total:    5
author:jel, total:    4
author:gga, total:    4
author:den, total:    4
author:ban, total:    4
author:bor, total:    3
author:Bla, total:    3
author:sta, total:    3
author:cli, total:    3
author:sup, total:    3
author:pea, total:    3
author:jhm, total:    3
author:gen, total:    3
author:tha, total:    3
author:tim, total:    2
author:gms, total:    2
author:dmd, total:    2
author:rhd, total:    2
author:sty, total:    2
author:gog, total:    2
author:lil, total:    2
author:and, total:    2
author:tls, total:    2
author:drp, total:    2
author:fro, total:    2
author:nir, total:    2
author:lov, total:    2
author:oli, total:    2
author:pir, total:    2
author:mir, total:    1
author:juk, total:    1
author:phi, total:    1
author:rac, total:    1
author:cli, total:    1
author:bra, total:    1
author:nse, total:    1
author:hir, total:    1
author:jkp, total:    1
author:rho, total:    1
author:bis, total:    1
author:wor, total:    1
author:ilh, total:    1
author:roa, total:    1
author:kih, total:    1
author:mpy, total:    1
author:tok, total:    1
author:lee, total:    1
