author:desir, total:   29
author:tenna, total:   20
author:Kindl, total:   14
author:jhman, total:   14
author:ggang, total:   11
author:windc, total:   10
author:gogof, total:    8
author:jelly, total:    7
author:yhfor, total:    7
author:dmdgn, total:    6
author:bansu, total:    6
author:livin, total:    5
author:genes, total:    5
author:oliga, total:    5
author:Black, total:    5
author:snowl, total:    5
author:monda, total:    5
author:i8208, total:    4
author:didir, total:    4
author:dodoh, total:    4
author:ddaru, total:    4
author:nuno1, total:    4
author:gui34, total:    4
author:crowk, total:    3
author:love1, total:    3
author:faith, total:    3
author:netbi, total:    3
author:shang, total:    3
author:zeroj, total:    3
author:black, total:    3
author:megag, total:    3
author:rhdls, total:    3
author:denci, total:    3
author:Lee_t, total:    3
author:scwee, total:    3
author:jaema, total:    3
author:jyh47, total:    3
author:peace, total:    3
author:darko, total:    3
author:queen, total:    3
author:sayak, total:    3
author:frost, total:    3
author:tando, total:    3
author:brian, total:    3
author:sfcra, total:    3
author:railr, total:    3
author:mokok, total:    3
author:nzsta, total:    2
author:sygco, total:    2
author:enter, total:    2
