author:de, total:   36
author:gu, total:   35
author:mh, total:   10
author:Bl, total:    8
author:dm, total:    8
author:me, total:    7
author:jh, total:    7
author:ca, total:    5
author:cr, total:    5
author:te, total:    5
author:pp, total:    5
author:ze, total:    5
author:ni, total:    5
author:am, total:    4
author:wa, total:    4
author:xm, total:    4
author:il, total:    4
author:mo, total:    4
author:th, total:    4
author:wi, total:    4
author:ii, total:    4
author:hj, total:    3
author:we, total:    3
author:ad, total:    3
author:tr, total:    3
author:df, total:    3
author:pi, total:    3
author:th, total:    3
author:ba, total:    3
author:sc, total:    3
author:re, total:    3
author:ko, total:    3
author:su, total:    3
author:ac, total:    3
author:bu, total:    3
author:an, total:    3
author:ol, total:    2
author:sf, total:    2
author:jo, total:    2
author:fo, total:    2
author:lb, total:    2
author:li, total:    2
author:ch, total:    2
author:po, total:    2
author:je, total:    2
author:ti, total:    2
author:se, total:    2
author:ne, total:    2
author:qw, total:    2
author:jj, total:    2
