user_id:mal, total:   18
user_id:cyc, total:   12
user_id:nuc, total:   12
user_id:nac, total:   11
user_id:fig, total:    8
user_id:iih, total:    8
user_id:gra, total:    7
user_id:hid, total:    7
user_id:des, total:    6
user_id:clu, total:    6
user_id:liv, total:    6
user_id:drm, total:    6
user_id:foo, total:    6
user_id:pg1, total:    6
user_id:wkd, total:    6
user_id:hin, total:    6
user_id:pin, total:    6
user_id:sbq, total:    5
user_id:gay, total:    5
user_id:wu7, total:    5
user_id:len, total:    5
user_id:zzo, total:    5
user_id:Lee, total:    5
user_id:las, total:    5
user_id:dlw, total:    5
user_id:kth, total:    5
user_id:sil, total:    5
user_id:ung, total:    5
user_id:see, total:    5
user_id:cha, total:    5
user_id:nam, total:    5
user_id:jsd, total:    4
user_id:lao, total:    4
user_id:ktf, total:    4
user_id:b2m, total:    4
user_id:bia, total:    4
user_id:wov, total:    4
user_id:mis, total:    4
user_id:alz, total:    4
user_id:pol, total:    4
user_id:jun, total:    4
user_id:ggg, total:    4
user_id:vir, total:    4
user_id:exn, total:    4
user_id:kic, total:    4
user_id:Ste, total:    4
user_id:bee, total:    4
user_id:web, total:    4
user_id:miz, total:    4
user_id:ect, total:    4
