author:jd, total:   10
author:mo, total:    5
author:ss, total:    3
author:pi, total:    3
author:mi, total:    3
author:ka, total:    3
author:pa, total:    2
author:gg, total:    2
author:sk, total:    2
author:dr, total:    2
author:al, total:    2
author:dk, total:    1
author:si, total:    1
author:tc, total:    1
author:gh, total:    1
author:ra, total:    1
author:ti, total:    1
author:ga, total:    1
author:ha, total:    1
author:hi, total:    1
author:yo, total:    1
author:ro, total:    1
author:sc, total:    1
author:sk, total:    1
author:pp, total:    1
author:jo, total:    1
author:sp, total:    1
author:an, total:    1
author:un, total:    1
author:nb, total:    1
author:pi, total:    1
author:ca, total:    1
author:si, total:    1
author:ne, total:    1
author:wa, total:    1
author:hi, total:    1
author:Su, total:    1
author:ne, total:    1
author:dr, total:    1
author:bu, total:    1
author:pa, total:    1
author:ch, total:    1
author:un, total:    1
author:ch, total:    1
author:ka, total:    1
author:zh, total:    1
author:re, total:    1
author:xl, total:    1
author:bl, total:    1
author:pe, total:    1
