user_id:iz, total:   15
user_id:ra, total:   15
user_id:in, total:   12
user_id:le, total:   11
user_id:li, total:   10
user_id:gu, total:   10
user_id:42, total:    9
user_id:ro, total:    8
user_id:oh, total:    8
user_id:pp, total:    7
user_id:ki, total:    6
user_id:ne, total:    6
user_id:jd, total:    6
user_id:ko, total:    6
user_id:cr, total:    6
user_id:ne, total:    6
user_id:le, total:    6
user_id:li, total:    6
user_id:ht, total:    6
user_id:he, total:    5
user_id:co, total:    5
user_id:se, total:    5
user_id:TN, total:    5
user_id:mo, total:    5
user_id:pi, total:    5
user_id:4l, total:    4
user_id:wa, total:    4
user_id:2u, total:    4
user_id:cy, total:    4
user_id:be, total:    4
user_id:df, total:    4
user_id:tt, total:    4
user_id:un, total:    4
user_id:cr, total:    4
user_id:ri, total:    4
user_id:jo, total:    4
user_id:sh, total:    4
user_id:pt, total:    4
user_id:ho, total:    4
user_id:as, total:    4
user_id:xw, total:    4
user_id:lj, total:    4
user_id:ki, total:    4
user_id:ba, total:    4
user_id:fa, total:    4
user_id:ca, total:    3
user_id:ia, total:    3
user_id:i8, total:    3
user_id:se, total:    3
user_id:gh, total:    3
