author:df3, total:   13
author:zol, total:   10
author:d11, total:    7
author:mac, total:    5
author:hon, total:    4
author:jdh, total:    3
author:har, total:    3
author:kim, total:    3
author:drp, total:    2
author:ham, total:    2
author:mir, total:    2
author:peg, total:    2
author:gui, total:    2
author:pan, total:    2
author:skt, total:    2
author:zaa, total:    2
author:sas, total:    2
author:nos, total:    2
author:ggk, total:    2
author:mon, total:    2
author:loe, total:    2
author:xhf, total:    2
author:ENT, total:    2
author:ash, total:    2
author:sty, total:    2
author:ptc, total:    1
author:kds, total:    1
author:pat, total:    1
author:wog, total:    1
author:iih, total:    1
author:jae, total:    1
author:pea, total:    1
author:ruc, total:    1
author:ran, total:    1
author:dah, total:    1
author:gog, total:    1
author:cho, total:    1
author:net, total:    1
author:ter, total:    1
author:aga, total:    1
author:lin, total:    1
author:qua, total:    1
author:tic, total:    1
author:ear, total:    1
author:bla, total:    1
author:ewq, total:    1
author:ssu, total:    1
author:jen, total:    1
author:vad, total:    1
author:shs, total:    1
