user_id:hon, total:   12
user_id:su6, total:    4
user_id:oht, total:    3
user_id:zol, total:    3
user_id:nut, total:    3
user_id:izb, total:    3
user_id:new, total:    3
user_id:wil, total:    2
user_id:yeu, total:    2
user_id:www, total:    2
user_id:pig, total:    2
user_id:mir, total:    2
user_id:ges, total:    2
user_id:ted, total:    2
user_id:cor, total:    2
user_id:ysa, total:    2
user_id:mbc, total:    2
user_id:yoo, total:    2
user_id:nei, total:    2
user_id:ham, total:    2
user_id:m5n, total:    2
user_id:new, total:    2
user_id:kim, total:    2
user_id:tt4, total:    2
user_id:fgh, total:    2
user_id:neo, total:    2
user_id:ohm, total:    2
user_id:grw, total:    1
user_id:kes, total:    1
user_id:qsx, total:    1
user_id:tip, total:    1
user_id:fac, total:    1
user_id:kog, total:    1
user_id:for, total:    1
user_id:all, total:    1
user_id:you, total:    1
user_id:ghk, total:    1
user_id:win, total:    1
user_id:mag, total:    1
user_id:136, total:    1
user_id:bir, total:    1
user_id:ssd, total:    1
user_id:hsm, total:    1
user_id:ram, total:    1
user_id:dke, total:    1
user_id:jeo, total:    1
user_id:eey, total:    1
user_id:sun, total:    1
user_id:tls, total:    1
user_id:nam, total:    1
