user_id:and, total:   12
user_id:dar, total:    9
user_id:spi, total:    6
user_id:taz, total:    3
user_id:pan, total:    3
user_id:ljh, total:    3
user_id:fla, total:    3
user_id:pin, total:    3
user_id:loe, total:    3
user_id:han, total:    2
user_id:doy, total:    2
user_id:vit, total:    2
user_id:dan, total:    2
user_id:ell, total:    2
user_id:yj2, total:    2
user_id:ska, total:    2
user_id:kao, total:    2
user_id:syn, total:    2
user_id:sla, total:    2
user_id:ear, total:    2
user_id:nor, total:    2
user_id:bgp, total:    2
user_id:tom, total:    2
user_id:seo, total:    2
user_id:twa, total:    2
user_id:lan, total:    2
user_id:vol, total:    2
user_id:miz, total:    2
user_id:tea, total:    2
user_id:leu, total:    1
user_id:juy, total:    1
user_id:mir, total:    1
user_id:Lee, total:    1
user_id:log, total:    1
user_id:now, total:    1
user_id:ivy, total:    1
user_id:sta, total:    1
user_id:mai, total:    1
user_id:rit, total:    1
user_id:mel, total:    1
user_id:shi, total:    1
user_id:mon, total:    1
user_id:ccm, total:    1
user_id:drm, total:    1
user_id:c1s, total:    1
user_id:kja, total:    1
user_id:wis, total:    1
user_id:tar, total:    1
user_id:myk, total:    1
user_id:col, total:    1
