user_id:an, total:   11
user_id:da, total:    5
user_id:sk, total:    4
user_id:yj, total:    3
user_id:lj, total:    3
user_id:la, total:    3
user_id:tw, total:    2
user_id:ka, total:    2
user_id:mi, total:    2
user_id:vo, total:    2
user_id:vi, total:    2
user_id:da, total:    2
user_id:da, total:    2
user_id:du, total:    2
user_id:pi, total:    2
user_id:fl, total:    2
user_id:do, total:    2
user_id:pe, total:    2
user_id:ea, total:    2
user_id:de, total:    2
user_id:ka, total:    2
user_id:se, total:    2
user_id:mi, total:    2
user_id:te, total:    2
user_id:pa, total:    2
user_id:ta, total:    2
user_id:cl, total:    1
user_id:ta, total:    1
user_id:dr, total:    1
user_id:ch, total:    1
user_id:bl, total:    1
user_id:we, total:    1
user_id:hi, total:    1
user_id:lo, total:    1
user_id:Ma, total:    1
user_id:mi, total:    1
user_id:xm, total:    1
user_id:br, total:    1
user_id:pi, total:    1
user_id:de, total:    1
user_id:le, total:    1
user_id:li, total:    1
user_id:ma, total:    1
user_id:ka, total:    1
user_id:al, total:    1
user_id:mo, total:    1
user_id:sw, total:    1
user_id:pe, total:    1
user_id:wi, total:    1
user_id:el, total:    1
