user_id:sp, total:   26
user_id:gh, total:   24
user_id:da, total:   23
user_id:yj, total:   17
user_id:lo, total:   16
user_id:as, total:   14
user_id:as, total:   13
user_id:bl, total:   12
user_id:dl, total:   12
user_id:da, total:   11
user_id:ev, total:   11
user_id:da, total:   11
user_id:li, total:   11
user_id:ju, total:   10
user_id:fa, total:   10
user_id:lj, total:   10
user_id:pa, total:    9
user_id:co, total:    9
user_id:li, total:    9
user_id:ga, total:    8
user_id:ni, total:    8
user_id:my, total:    7
user_id:pi, total:    7
user_id:co, total:    7
user_id:dd, total:    7
user_id:ty, total:    7
user_id:pt, total:    7
user_id:er, total:    7
user_id:ne, total:    7
user_id:ar, total:    7
user_id:ro, total:    7
user_id:bo, total:    7
user_id:fl, total:    6
user_id:oo, total:    6
user_id:wa, total:    6
user_id:ju, total:    6
user_id:ac, total:    6
user_id:ca, total:    6
user_id:an, total:    6
user_id:yh, total:    6
user_id:mk, total:    6
user_id:4q, total:    5
user_id:su, total:    5
user_id:of, total:    5
user_id:ba, total:    5
user_id:ne, total:    5
user_id:cr, total:    5
user_id:te, total:    5
user_id:42, total:    5
user_id:em, total:    5
