author:mi, total:   11
author:jd, total:   11
author:an, total:    6
author:ca, total:    6
author:li, total:    4
author:k4, total:    4
author:be, total:    4
author:ju, total:    4
author:xh, total:    3
author:gg, total:    3
author:sh, total:    3
author:la, total:    3
author:as, total:    3
author:re, total:    3
author:my, total:    3
author:la, total:    3
author:st, total:    2
author:st, total:    2
author:te, total:    2
author:nb, total:    2
author:ma, total:    2
author:st, total:    2
author:cl, total:    2
author:gg, total:    2
author:ba, total:    2
author:lj, total:    2
author:mo, total:    2
author:rr, total:    2
author:ar, total:    2
author:fi, total:    2
author:dr, total:    2
author:re, total:    2
author:po, total:    2
author:ch, total:    2
author:no, total:    2
author:ki, total:    2
author:st, total:    2
author:ki, total:    2
author:cj, total:    1
author:cc, total:    1
author:tc, total:    1
author:ca, total:    1
author:qz, total:    1
author:ra, total:    1
author:sa, total:    1
author:li, total:    1
author:gr, total:    1
author:df, total:    1
author:da, total:    1
author:ta, total:    1
