author:jd, total:   12
author:mi, total:   11
author:an, total:    6
author:ca, total:    6
author:li, total:    4
author:k4, total:    4
author:be, total:    4
author:ju, total:    3
author:my, total:    3
author:la, total:    3
author:la, total:    3
author:ba, total:    2
author:lj, total:    2
author:mo, total:    2
author:st, total:    2
author:st, total:    2
author:ar, total:    2
author:sh, total:    2
author:rr, total:    2
author:xh, total:    2
author:fi, total:    2
author:as, total:    2
author:dr, total:    2
author:no, total:    2
author:st, total:    2
author:ch, total:    2
author:ki, total:    2
author:gg, total:    2
author:ki, total:    2
author:cl, total:    2
author:re, total:    2
author:te, total:    2
author:nb, total:    2
author:st, total:    2
author:ma, total:    2
author:th, total:    1
author:c1, total:    1
author:mi, total:    1
author:si, total:    1
author:to, total:    1
author:do, total:    1
author:qh, total:    1
author:re, total:    1
author:pt, total:    1
author:kj, total:    1
author:gu, total:    1
author:te, total:    1
author:ch, total:    1
author:ki, total:    1
author:re, total:    1
