author:min, total:   10
author:gga, total:   10
author:jdh, total:    8
author:cad, total:    6
author:k44, total:    4
author:lad, total:    4
author:liv, total:    4
author:and, total:    4
author:lan, total:    3
author:boi, total:    3
author:ten, total:    3
author:red, total:    3
author:myf, total:    2
author:fir, total:    2
author:ben, total:    2
author:sta, total:    2
author:kim, total:    2
author:kim, total:    2
author:nos, total:    2
author:drp, total:    2
author:xhf, total:    2
author:jse, total:    2
author:str, total:    2
author:rr4, total:    2
author:nba, total:    2
author:df3, total:    2
author:mal, total:    2
author:ted, total:    2
author:q0w, total:    1
author:han, total:    1
author:nip, total:    1
author:sou, total:    1
author:mod, total:    1
author:rid, total:    1
author:ljb, total:    1
author:rou, total:    1
author:can, total:    1
author:c10, total:    1
author:ver, total:    1
author:sfc, total:    1
author:gar, total:    1
author:rev, total:    1
author:moo, total:    1
author:qwe, total:    1
author:sor, total:    1
author:sin, total:    1
author:leo, total:    1
author:kok, total:    1
author:kib, total:    1
author:gri, total:    1
