author:gga, total:   33
author:and, total:   12
author:ukj, total:    5
author:k44, total:    4
author:nos, total:    4
author:eul, total:    3
author:jdh, total:    3
author:lan, total:    3
author:sai, total:    3
author:drp, total:    2
author:alp, total:    2
author:tru, total:    2
author:sha, total:    2
author:ten, total:    2
author:peg, total:    2
author:red, total:    2
author:lov, total:    2
author:cor, total:    2
author:cjd, total:    2
author:kp8, total:    2
author:smi, total:    2
author:mir, total:    2
author:sym, total:    2
author:tiz, total:    2
author:wao, total:    2
author:ili, total:    2
author:lim, total:    2
author:tar, total:    2
author:min, total:    2
author:she, total:    1
author:yoo, total:    1
author:dde, total:    1
author:yam, total:    1
author:zii, total:    1
author:wkd, total:    1
author:mot, total:    1
author:lad, total:    1
author:kni, total:    1
author:can, total:    1
author:wat, total:    1
author:bea, total:    1
author:ljc, total:    1
author:rla, total:    1
author:ben, total:    1
author:qoe, total:    1
author:kj9, total:    1
author:emb, total:    1
author:zen, total:    1
author:xen, total:    1
author:jsy, total:    1
