author:jd, total:   18
author:ki, total:   13
author:sy, total:   12
author:ez, total:   11
author:hj, total:    8
author:gg, total:    8
author:sh, total:    7
author:pi, total:    7
author:ph, total:    7
author:sa, total:    7
author:co, total:    6
author:go, total:    6
author:ka, total:    6
author:no, total:    6
author:mi, total:    6
author:lo, total:    5
author:li, total:    5
author:th, total:    5
author:Su, total:    5
author:ai, total:    5
author:ra, total:    5
author:dk, total:    4
author:qw, total:    4
author:ne, total:    4
author:ce, total:    4
author:pp, total:    4
author:ia, total:    4
author:k4, total:    4
author:pr, total:    4
author:su, total:    4
author:oh, total:    4
author:wo, total:    4
author:hi, total:    3
author:mi, total:    3
author:mi, total:    3
author:ra, total:    3
author:Bo, total:    3
author:gl, total:    3
author:ar, total:    3
author:lu, total:    3
author:ku, total:    3
author:te, total:    3
author:ma, total:    3
author:ju, total:    3
author:as, total:    3
author:ic, total:    3
author:pi, total:    3
author:of, total:    3
author:fi, total:    3
author:ya, total:    3
