author:ki, total:   14
author:jd, total:   13
author:sa, total:   12
author:sh, total:    8
author:li, total:    8
author:ez, total:    7
author:th, total:    7
author:ca, total:    6
author:ar, total:    6
author:te, total:    6
author:sy, total:    6
author:cy, total:    5
author:co, total:    5
author:pi, total:    5
author:hi, total:    5
author:lo, total:    5
author:ju, total:    4
author:hj, total:    4
author:wh, total:    4
author:gh, total:    4
author:da, total:    4
author:ly, total:    4
author:gg, total:    4
author:ia, total:    4
author:mo, total:    4
author:d1, total:    3
author:re, total:    3
author:wa, total:    3
author:lo, total:    3
author:wo, total:    3
author:hi, total:    3
author:dk, total:    3
author:qw, total:    3
author:st, total:    3
author:su, total:    3
author:mi, total:    3
author:bi, total:    3
author:Su, total:    2
author:as, total:    2
author:sw, total:    2
author:re, total:    2
author:ch, total:    2
author:na, total:    2
author:kd, total:    2
author:hy, total:    2
author:go, total:    2
author:sc, total:    2
author:ga, total:    2
author:di, total:    2
author:su, total:    2
