author:jdh, total:   12
author:kim, total:   12
author:ten, total:   10
author:gga, total:    9
author:sav, total:    7
author:thi, total:    7
author:cad, total:    6
author:ars, total:    6
author:lyl, total:    6
author:she, total:    6
author:con, total:    6
author:sym, total:    5
author:bia, total:    5
author:wak, total:    5
author:lov, total:    5
author:liv, total:    5
author:cyh, total:    5
author:ezj, total:    4
author:d11, total:    4
author:can, total:    4
author:gho, total:    4
author:peg, total:    4
author:min, total:    4
author:red, total:    3
author:hel, total:    3
author:reb, total:    3
author:whg, total:    3
author:lik, total:    3
author:hin, total:    3
author:loe, total:    3
author:wkd, total:    3
author:del, total:    3
author:zmz, total:    3
author:ask, total:    3
author:su6, total:    3
author:fif, total:    2
author:seo, total:    2
author:cor, total:    2
author:mic, total:    2
author:skr, total:    2
author:hb8, total:    2
author:ram, total:    2
author:scw, total:    2
author:jak, total:    2
author:gog, total:    2
author:dar, total:    2
author:sup, total:    2
author:mor, total:    2
author:tch, total:    2
author:kdf, total:    2
