author:ten, total:   11
author:gga, total:   11
author:jdh, total:   10
author:sav, total:    8
author:kim, total:    8
author:thi, total:    7
author:ars, total:    7
author:she, total:    6
author:min, total:    6
author:lyl, total:    6
author:bia, total:    5
author:liv, total:    5
author:cyh, total:    5
author:wak, total:    5
author:con, total:    5
author:cad, total:    5
author:lov, total:    5
author:seo, total:    4
author:sym, total:    4
author:can, total:    4
author:zmz, total:    4
author:peg, total:    4
author:d11, total:    4
author:gho, total:    4
author:wkd, total:    4
author:scw, total:    4
author:kdf, total:    3
author:mic, total:    3
author:red, total:    3
author:lik, total:    3
author:whg, total:    3
author:ezj, total:    3
author:su6, total:    3
author:sws, total:    2
author:del, total:    2
author:hb8, total:    2
author:ram, total:    2
author:hel, total:    2
author:qwe, total:    2
author:reb, total:    2
author:jak, total:    2
author:sin, total:    2
author:ohm, total:    2
author:sup, total:    2
author:62k, total:    2
author:ide, total:    2
author:dyd, total:    2
author:nos, total:    2
author:tch, total:    2
author:mor, total:    2
