author:gga, total:   12
author:jdh, total:   11
author:seo, total:    8
author:min, total:    6
author:kim, total:    6
author:ian, total:    6
author:ten, total:    6
author:red, total:    6
author:d11, total:    5
author:62k, total:    5
author:cyh, total:    5
author:con, total:    5
author:sym, total:    4
author:wak, total:    4
author:sup, total:    4
author:peg, total:    4
author:aip, total:    3
author:bia, total:    3
author:ohm, total:    3
author:she, total:    3
author:can, total:    3
author:ram, total:    3
author:nos, total:    3
author:wkd, total:    3
author:hin, total:    3
author:lik, total:    3
author:lov, total:    3
author:hel, total:    3
author:zmz, total:    3
author:ars, total:    3
author:cor, total:    3
author:cad, total:    2
author:del, total:    2
author:kim, total:    2
author:sav, total:    2
author:kim, total:    2
author:scw, total:    2
author:ask, total:    2
author:asw, total:    2
author:sca, total:    2
author:Jul, total:    2
author:con, total:    2
author:kdf, total:    2
author:cit, total:    2
author:lyl, total:    2
author:shi, total:    2
author:elf, total:    2
author:gho, total:    2
author:fif, total:    2
author:whg, total:    2
