author:jd, total:   18
author:sy, total:   12
author:ez, total:   12
author:ki, total:   12
author:sa, total:    8
author:sh, total:    8
author:co, total:    7
author:ph, total:    7
author:gg, total:    6
author:pi, total:    6
author:hj, total:    6
author:ra, total:    5
author:no, total:    5
author:li, total:    5
author:ia, total:    4
author:wo, total:    4
author:ju, total:    4
author:ai, total:    4
author:ce, total:    4
author:mi, total:    4
author:ka, total:    4
author:th, total:    4
author:su, total:    4
author:pp, total:    4
author:hi, total:    4
author:mi, total:    4
author:dk, total:    4
author:k4, total:    4
author:ic, total:    3
author:pr, total:    3
author:mi, total:    3
author:ju, total:    3
author:62, total:    3
author:as, total:    3
author:ar, total:    3
author:Su, total:    3
author:mo, total:    3
author:ma, total:    3
author:te, total:    3
author:lo, total:    3
author:ku, total:    3
author:qw, total:    3
author:ra, total:    3
author:of, total:    3
author:ya, total:    3
author:re, total:    3
author:wa, total:    2
author:dk, total:    2
author:ki, total:    2
author:ca, total:    2
