author:ki, total:   18
author:jd, total:   14
author:sa, total:   13
author:sy, total:    9
author:sh, total:    8
author:ez, total:    8
author:li, total:    8
author:gg, total:    7
author:hi, total:    5
author:ca, total:    5
author:lo, total:    5
author:pi, total:    5
author:k4, total:    4
author:th, total:    4
author:da, total:    4
author:wo, total:    4
author:ju, total:    4
author:ia, total:    4
author:wh, total:    4
author:ar, total:    4
author:hj, total:    3
author:st, total:    3
author:de, total:    3
author:re, total:    3
author:ju, total:    3
author:ra, total:    3
author:ly, total:    3
author:lo, total:    3
author:pp, total:    3
author:co, total:    3
author:as, total:    3
author:bi, total:    3
author:dk, total:    3
author:mo, total:    3
author:cy, total:    3
author:re, total:    3
author:sw, total:    2
author:qw, total:    2
author:tc, total:    2
author:ai, total:    2
author:Su, total:    2
author:sh, total:    2
author:hy, total:    2
author:lj, total:    2
author:kd, total:    2
author:mi, total:    2
author:lu, total:    2
author:sc, total:    2
author:sp, total:    2
author:d1, total:    2
