user_id:yj2, total:   10
user_id:nou, total:    7
user_id:dar, total:    6
user_id:lik, total:    6
user_id:dlw, total:    6
user_id:pin, total:    5
user_id:nei, total:    5
user_id:cyh, total:    5
user_id:rod, total:    5
user_id:miz, total:    5
user_id:drk, total:    5
user_id:wkd, total:    4
user_id:seo, total:    4
user_id:bad, total:    4
user_id:mon, total:    4
user_id:jun, total:    4
user_id:bri, total:    4
user_id:cor, total:    3
user_id:yh0, total:    3
user_id:ljb, total:    3
user_id:caf, total:    3
user_id:bab, total:    3
user_id:jiy, total:    3
user_id:kds, total:    3
user_id:sav, total:    3
user_id:hwa, total:    3
user_id:421, total:    3
user_id:bee, total:    3
user_id:lov, total:    3
user_id:mnj, total:    3
user_id:pop, total:    3
user_id:cad, total:    3
user_id:ric, total:    3
user_id:don, total:    3
user_id:hij, total:    3
user_id:sus, total:    3
user_id:han, total:    3
user_id:apo, total:    3
user_id:kar, total:    3
user_id:lee, total:    3
user_id:tor, total:    2
user_id:des, total:    2
user_id:sym, total:    2
user_id:oli, total:    2
user_id:jse, total:    2
user_id:asw, total:    2
user_id:bia, total:    2
user_id:boc, total:    2
user_id:and, total:    2
user_id:gea, total:    2
