author:wat, total:   14
author:bul, total:    4
author:gga, total:    4
author:ric, total:    3
author:k44, total:    3
author:phr, total:    3
author:kut, total:    3
author:yle, total:    2
author:2on, total:    2
author:plp, total:    2
author:win, total:    2
author:chi, total:    2
author:ljm, total:    2
author:muh, total:    2
author:seo, total:    2
author:hik, total:    2
author:cli, total:    2
author:ora, total:    2
author:wre, total:    1
author:yus, total:    1
author:dkk, total:    1
author:poc, total:    1
author:coc, total:    1
author:com, total:    1
author:msm, total:    1
author:the, total:    1
author:xhf, total:    1
author:ais, total:    1
author:sup, total:    1
author:gog, total:    1
author:coc, total:    1
author:kis, total:    1
author:ims, total:    1
author:rep, total:    1
author:laa, total:    1
author:kag, total:    1
author:mes, total:    1
author:dol, total:    1
author:skt, total:    1
author:ghk, total:    1
author:nsu, total:    1
author:cha, total:    1
author:tra, total:    1
author:ths, total:    1
author:mar, total:    1
author:gui, total:    1
author:min, total:    1
author:nzs, total:    1
author:d11, total:    1
author:che, total:    1
