author:phr, total:   25
author:ric, total:   14
author:muh, total:   11
author:sup, total:   10
author:ggi, total:    9
author:dah, total:    9
author:wat, total:    8
author:k44, total:    8
author:ora, total:    8
author:gse, total:    6
author:yhf, total:    5
author:job, total:    5
author:lan, total:    5
author:mem, total:    5
author:seq, total:    5
author:ian, total:    5
author:jae, total:    5
author:gra, total:    4
author:cli, total:    4
author:the, total:    4
author:des, total:    4
author:gmr, total:    4
author:zen, total:    4
author:rai, total:    3
author:edm, total:    3
author:rep, total:    3
author:gog, total:    3
author:pws, total:    3
author:ilt, total:    3
author:buc, total:    3
author:chu, total:    3
author:kad, total:    3
author:ent, total:    3
author:min, total:    3
author:did, total:    2
author:svp, total:    2
author:tro, total:    2
author:wao, total:    2
author:kut, total:    2
author:sim, total:    2
author:hb8, total:    2
author:hdp, total:    2
author:win, total:    2
author:laz, total:    2
author:dda, total:    2
author:sha, total:    2
author:gga, total:    2
author:tan, total:    2
author:vas, total:    2
author:ptp, total:    2
