user_id:do, total:   12
user_id:pi, total:    7
user_id:cl, total:    5
user_id:gh, total:    4
user_id:ri, total:    4
user_id:sh, total:    4
user_id:as, total:    4
user_id:ha, total:    4
user_id:pi, total:    4
user_id:ju, total:    3
user_id:al, total:    3
user_id:wi, total:    3
user_id:pe, total:    3
user_id:js, total:    3
user_id:ra, total:    3
user_id:yj, total:    3
user_id:er, total:    3
user_id:ab, total:    3
user_id:lo, total:    3
user_id:ca, total:    2
user_id:je, total:    2
user_id:dk, total:    2
user_id:ju, total:    2
user_id:to, total:    2
user_id:fl, total:    2
user_id:ch, total:    2
user_id:ko, total:    2
user_id:vi, total:    2
user_id:io, total:    2
user_id:li, total:    2
user_id:fi, total:    2
user_id:yo, total:    2
user_id:sy, total:    2
user_id:ne, total:    2
user_id:ph, total:    2
user_id:it, total:    2
user_id:al, total:    2
user_id:na, total:    2
user_id:gp, total:    2
user_id:lj, total:    2
user_id:pt, total:    2
user_id:kl, total:    2
user_id:fe, total:    1
user_id:me, total:    1
user_id:ni, total:    1
user_id:ev, total:    1
user_id:tr, total:    1
user_id:si, total:    1
user_id:jo, total:    1
user_id:be, total:    1
