author:ri, total:   13
author:mo, total:    7
author:su, total:    5
author:hi, total:    5
author:Le, total:    4
author:4l, total:    4
author:yh, total:    4
author:jo, total:    3
author:bu, total:    3
author:ga, total:    3
author:si, total:    3
author:he, total:    2
author:oh, total:    2
author:wc, total:    2
author:pi, total:    2
author:mi, total:    2
author:cl, total:    2
author:xn, total:    2
author:pe, total:    2
author:pa, total:    1
author:pp, total:    1
author:wi, total:    1
author:hw, total:    1
author:su, total:    1
author:oo, total:    1
author:bl, total:    1
author:k0, total:    1
author:fo, total:    1
author:fi, total:    1
author:bs, total:    1
author:ap, total:    1
author:so, total:    1
author:ap, total:    1
author:bo, total:    1
author:ke, total:    1
author:to, total:    1
author:ch, total:    1
author:po, total:    1
author:se, total:    1
author:xe, total:    1
author:ch, total:    1
author:hi, total:    1
author:ba, total:    1
author:tr, total:    1
author:br, total:    1
author:ab, total:    1
author:fo, total:    1
author:ni, total:    1
author:se, total:    1
author:mr, total:    1
