author:ric, total:   13
author:mon, total:    9
author:hik, total:    4
author:sup, total:    4
author:job, total:    4
author:Lee, total:    3
author:sie, total:    3
author:yh0, total:    3
author:4le, total:    3
author:xnw, total:    2
author:wch, total:    2
author:ohm, total:    2
author:app, total:    2
author:gai, total:    2
author:buc, total:    2
author:hee, total:    2
author:min, total:    2
author:zen, total:    2
author:tol, total:    1
author:for, total:    1
author:gar, total:    1
author:pea, total:    1
author:mrp, total:    1
author:tro, total:    1
author:sel, total:    1
author:gga, total:    1
author:cli, total:    1
author:kds, total:    1
author:bri, total:    1
author:pom, total:    1
author:par, total:    1
author:hin, total:    1
author:sun, total:    1
author:pil, total:    1
author:hwa, total:    1
author:neo, total:    1
author:bon, total:    1
author:fir, total:    1
author:k44, total:    1
author:app, total:    1
author:blu, total:    1
author:tom, total:    1
author:nit, total:    1
author:ran, total:    1
author:sty, total:    1
author:k09, total:    1
author:xen, total:    1
author:hir, total:    1
author:seo, total:    1
author:cho, total:    1
