author:ro, total:   11
author:bl, total:    4
author:jo, total:    3
author:ti, total:    3
author:wi, total:    2
author:sh, total:    2
author:ni, total:    2
author:lo, total:    1
author:k4, total:    1
author:la, total:    1
author:ry, total:    1
author:sc, total:    1
author:bl, total:    1
author:ra, total:    1
author:ej, total:    1
author:sa, total:    1
author:te, total:    1
author:bl, total:    1
author:br, total:    1
author:ko, total:    1
author:ri, total:    1
author:sa, total:    1
author:fr, total:    1
