author:ta, total:   15
author:jd, total:   13
author:ru, total:   12
author:k4, total:    7
author:js, total:    6
author:st, total:    6
author:me, total:    6
author:mo, total:    6
author:qw, total:    5
author:la, total:    5
author:gg, total:    4
author:ft, total:    4
author:cr, total:    4
author:el, total:    4
author:dr, total:    4
author:go, total:    4
author:hb, total:    3
author:ci, total:    3
author:ro, total:    3
author:de, total:    3
author:dh, total:    3
author:ca, total:    3
author:su, total:    3
author:jo, total:    3
author:ge, total:    3
author:so, total:    3
author:as, total:    3
author:sh, total:    3
author:jo, total:    3
author:Ju, total:    3
author:si, total:    3
author:Le, total:    3
author:sp, total:    3
author:ca, total:    2
author:ze, total:    2
author:dk, total:    2
author:il, total:    2
author:ba, total:    2
author:la, total:    2
author:pj, total:    2
author:sw, total:    2
author:su, total:    2
author:ze, total:    2
author:we, total:    2
author:ni, total:    2
author:wa, total:    2
author:te, total:    2
author:pa, total:    2
author:ch, total:    2
author:re, total:    2
