author:ru, total:   15
author:ta, total:   13
author:me, total:    9
author:k4, total:    9
author:jd, total:    8
author:mo, total:    8
author:dh, total:    7
author:cr, total:    6
author:la, total:    6
author:li, total:    4
author:Ju, total:    4
author:ol, total:    4
author:yy, total:    4
author:cy, total:    4
author:sa, total:    4
author:de, total:    4
author:Le, total:    4
author:la, total:    4
author:hb, total:    4
author:js, total:    4
author:bo, total:    3
author:sw, total:    3
author:da, total:    3
author:ki, total:    3
author:te, total:    3
author:jo, total:    3
author:dm, total:    3
author:ge, total:    3
author:za, total:    3
author:or, total:    3
author:su, total:    3
author:re, total:    3
author:an, total:    3
author:ro, total:    3
author:ni, total:    2
author:ca, total:    2
author:mo, total:    2
author:as, total:    2
author:zo, total:    2
author:he, total:    2
author:dr, total:    2
author:wa, total:    2
author:ft, total:    2
author:ji, total:    2
author:sp, total:    2
author:su, total:    2
author:sc, total:    2
author:sh, total:    2
author:en, total:    2
author:il, total:    2
