author:run, total:   14
author:mem, total:   10
author:jsw, total:    9
author:mon, total:    9
author:jdh, total:    8
author:nep, total:    7
author:k44, total:    7
author:cyh, total:    7
author:ten, total:    7
author:gga, total:    7
author:kim, total:    7
author:wat, total:    6
author:sha, total:    6
author:sha, total:    5
author:moo, total:    5
author:cro, total:    5
author:dmd, total:    5
author:mar, total:    5
author:boi, total:    5
author:qwe, total:    4
author:von, total:    4
author:mir, total:    4
author:pic, total:    4
author:cvd, total:    4
author:ban, total:    4
author:mon, total:    4
author:Jul, total:    3
author:ent, total:    3
author:drp, total:    3
author:des, total:    3
author:dah, total:    3
author:ftf, total:    3
author:tas, total:    3
author:can, total:    3
author:lan, total:    3
author:frt, total:    3
author:nav, total:    3
author:dhk, total:    3
author:dra, total:    3
author:san, total:    3
author:mob, total:    3
author:kad, total:    2
author:chi, total:    2
author:lif, total:    2
author:que, total:    2
author:gen, total:    2
author:scw, total:    2
author:zon, total:    2
author:lad, total:    2
author:min, total:    2
