author:runel, total:   11
author:kimju, total:   10
author:jsweo, total:   10
author:membe, total:    9
author:tenna, total:    8
author:shang, total:    7
author:k4404, total:    7
author:wat19, total:    7
author:ggang, total:    6
author:cyh47, total:    6
author:qwert, total:    6
author:bois2, total:    6
author:monda, total:    6
author:crowk, total:    5
author:monow, total:    5
author:neptu, total:    5
author:jdhun, total:    5
author:gene0, total:    4
author:maron, total:    4
author:dhkd0, total:    4
author:bansu, total:    4
author:dmdgn, total:    4
author:mooka, total:    4
author:daha , total:    3
author:ftfut, total:    3
author:globe, total:    3
author:frtch, total:    3
author:canip, total:    3
author:tas77, total:    3
author:entir, total:    3
author:drpor, total:    3
author:sangk, total:    3
author:mobo , total:    3
author:vonde, total:    3
author:cvdf9, total:    3
author:shamu, total:    3
author:modem, total:    2
author:lany , total:    2
author:cccpj, total:    2
author:sorce, total:    2
author:life1, total:    2
author:Julia, total:    2
author:pico2, total:    2
author:redja, total:    2
author:jeemi, total:    2
author:apoll, total:    2
author:drago, total:    2
author:drakk, total:    2
author:welfa, total:    2
author:mirsh, total:    2
