author:ta, total:   24
author:jd, total:   11
author:gg, total:    7
author:st, total:    7
author:js, total:    7
author:ru, total:    6
author:cr, total:    5
author:qw, total:    5
author:mo, total:    5
author:go, total:    4
author:k4, total:    4
author:sh, total:    4
author:dr, total:    4
author:as, total:    4
author:mi, total:    4
author:ci, total:    3
author:dk, total:    3
author:Ju, total:    3
author:pa, total:    3
author:mk, total:    3
author:jo, total:    3
author:ro, total:    3
author:we, total:    3
author:ft, total:    3
author:si, total:    3
author:el, total:    3
author:ne, total:    3
author:me, total:    3
author:la, total:    3
author:dh, total:    3
author:pj, total:    3
author:vi, total:    2
author:jo, total:    2
author:tr, total:    2
author:so, total:    2
author:bo, total:    2
author:ho, total:    2
author:we, total:    2
author:si, total:    2
author:ze, total:    2
author:at, total:    2
author:ch, total:    2
author:sp, total:    2
author:sy, total:    2
author:re, total:    2
author:mi, total:    2
author:pa, total:    2
author:ra, total:    2
author:bu, total:    2
author:pu, total:    2
