user_id:dar, total:   14
user_id:dan, total:   10
user_id:spi, total:    9
user_id:and, total:    9
user_id:izb, total:    5
user_id:lik, total:    5
user_id:tar, total:    5
user_id:Cis, total:    4
user_id:tpo, total:    4
user_id:myf, total:    4
user_id:jin, total:    4
user_id:mal, total:    4
user_id:seo, total:    4
user_id:t5i, total:    4
user_id:ors, total:    4
user_id:ska, total:    4
user_id:mik, total:    4
user_id:jhk, total:    4
user_id:asc, total:    3
user_id:sla, total:    3
user_id:pin, total:    3
user_id:the, total:    3
user_id:gga, total:    3
user_id:taz, total:    3
user_id:web, total:    3
user_id:lov, total:    3
user_id:gug, total:    3
user_id:das, total:    3
user_id:loe, total:    3
user_id:sin, total:    3
user_id:see, total:    3
user_id:way, total:    3
user_id:aaa, total:    2
user_id:gen, total:    2
user_id:squ, total:    2
user_id:ges, total:    2
user_id:its, total:    2
user_id:pmp, total:    2
user_id:red, total:    2
user_id:zet, total:    2
user_id:gga, total:    2
user_id:ner, total:    2
user_id:hyu, total:    2
user_id:ktf, total:    2
user_id:rch, total:    2
user_id:kim, total:    2
user_id:heu, total:    2
user_id:pjy, total:    2
user_id:pur, total:    2
user_id:s99, total:    2
