author:de, total:   32
author:wi, total:   13
author:jh, total:   12
author:gu, total:   12
author:mh, total:   10
author:me, total:    6
author:dm, total:    6
author:ad, total:    5
author:gg, total:    5
author:pi, total:    5
author:je, total:    4
author:am, total:    4
author:wh, total:    4
author:ze, total:    4
author:xm, total:    4
author:il, total:    4
author:oh, total:    3
author:sc, total:    3
author:re, total:    3
author:qw, total:    3
author:we, total:    3
author:Bl, total:    3
author:i8, total:    3
author:ni, total:    3
author:te, total:    3
author:2o, total:    3
author:wa, total:    3
author:df, total:    3
author:in, total:    3
author:ca, total:    3
author:ko, total:    3
author:la, total:    3
author:ac, total:    3
author:sm, total:    3
author:st, total:    3
author:lb, total:    2
author:mr, total:    2
author:ls, total:    2
author:fi, total:    2
author:tr, total:    2
author:su, total:    2
author:th, total:    2
author:ch, total:    2
author:se, total:    2
author:cr, total:    2
author:ji, total:    2
author:na, total:    2
author:lj, total:    2
author:an, total:    2
author:ne, total:    2
