author:jd, total:   16
author:mo, total:    7
author:ka, total:    6
author:gg, total:    4
author:su, total:    3
author:pi, total:    3
author:pa, total:    3
author:ss, total:    3
author:kw, total:    3
author:mi, total:    3
author:ka, total:    3
author:sk, total:    2
author:dr, total:    2
author:as, total:    2
author:ki, total:    2
author:rl, total:    2
author:li, total:    2
author:pe, total:    2
author:ti, total:    2
author:4l, total:    2
author:gg, total:    2
author:mo, total:    2
author:cy, total:    2
author:fi, total:    2
author:hb, total:    2
author:bu, total:    2
author:sc, total:    1
author:pp, total:    1
author:mo, total:    1
author:gg, total:    1
author:yo, total:    1
author:im, total:    1
author:sb, total:    1
author:fl, total:    1
author:al, total:    1
author:un, total:    1
author:wa, total:    1
author:ho, total:    1
author:wi, total:    1
author:yo, total:    1
author:le, total:    1
author:r3, total:    1
author:pa, total:    1
author:fa, total:    1
author:pa, total:    1
author:dk, total:    1
author:99, total:    1
author:wh, total:    1
author:sh, total:    1
author:hi, total:    1
