author:jd, total:   16
author:gg, total:    7
author:ri, total:    5
author:ka, total:    4
author:mo, total:    4
author:si, total:    4
author:pa, total:    4
author:ra, total:    3
author:Su, total:    3
author:al, total:    3
author:wo, total:    3
author:sm, total:    2
author:po, total:    2
author:pl, total:    2
author:4l, total:    2
author:la, total:    2
author:pi, total:    2
author:bu, total:    2
author:ho, total:    2
author:cl, total:    2
author:la, total:    2
author:k4, total:    2
author:my, total:    2
author:tb, total:    1
author:ra, total:    1
author:pu, total:    1
author:dr, total:    1
author:el, total:    1
author:li, total:    1
author:le, total:    1
author:no, total:    1
author:bs, total:    1
author:ch, total:    1
author:co, total:    1
author:ar, total:    1
author:st, total:    1
author:vi, total:    1
author:ob, total:    1
author:98, total:    1
author:eo, total:    1
author:yo, total:    1
author:an, total:    1
author:sl, total:    1
author:dr, total:    1
author:ol, total:    1
author:ga, total:    1
author:b3, total:    1
author:so, total:    1
author:en, total:    1
author:st, total:    1
