author:jd, total:   13
author:ka, total:   11
author:as, total:    8
author:ho, total:    7
author:le, total:    5
author:re, total:    4
author:tc, total:    4
author:al, total:    4
author:my, total:    3
author:ga, total:    3
author:we, total:    3
author:ra, total:    3
author:ma, total:    2
author:sw, total:    2
author:nx, total:    2
author:no, total:    2
author:je, total:    2
author:xh, total:    2
author:ez, total:    2
author:di, total:    2
author:ju, total:    2
author:ej, total:    2
author:cl, total:    2
author:pi, total:    2
author:fo, total:    2
author:mi, total:    2
author:ca, total:    2
author:Su, total:    2
author:we, total:    2
author:io, total:    2
author:ed, total:    2
author:hb, total:    2
author:bl, total:    2
author:br, total:    1
author:ii, total:    1
author:gg, total:    1
author:ss, total:    1
author:pe, total:    1
author:jj, total:    1
author:la, total:    1
author:go, total:    1
author:mo, total:    1
author:an, total:    1
author:cy, total:    1
author:im, total:    1
author:cb, total:    1
author:mr, total:    1
author:so, total:    1
author:ne, total:    1
author:dk, total:    1
