user_id:dar, total:   66
user_id:spi, total:   57
user_id:asc, total:   22
user_id:cld, total:   10
user_id:ors, total:   10
user_id:sas, total:    9
user_id:ges, total:    9
user_id:web, total:    9
user_id:hyu, total:    9
user_id:mal, total:    9
user_id:dan, total:    9
user_id:liv, total:    9
user_id:and, total:    8
user_id:fly, total:    8
user_id:yti, total:    8
user_id:nek, total:    8
user_id:sla, total:    7
user_id:fla, total:    6
user_id:yoo, total:    6
user_id:tom, total:    6
user_id:kws, total:    6
user_id:dal, total:    6
user_id:dod, total:    6
user_id:bes, total:    6
user_id:hel, total:    6
user_id:tar, total:    5
user_id:win, total:    5
user_id:ich, total:    5
user_id:nou, total:    5
user_id:see, total:    5
user_id:zet, total:    5
user_id:zjv, total:    5
user_id:eof, total:    5
user_id:ivy, total:    5
user_id:lee, total:    5
user_id:dop, total:    5
user_id:nir, total:    4
user_id:th2, total:    4
user_id:wkd, total:    4
user_id:onl, total:    4
user_id:son, total:    4
user_id:shu, total:    4
user_id:jin, total:    4
user_id:now, total:    4
user_id:mar, total:    4
user_id:myf, total:    4
user_id:bon, total:    4
user_id:noi, total:    4
user_id:pan, total:    4
user_id:ohm, total:    4
